PVSYST v6.43
;File;File date;Description
Project;Blythe Riverside Co Arpt_Project.PRJ;00/00/00 00h00;Blythe;
Geographical Site;New.SIT;00/00/00 00h00;Blythe Riverside Co Arpt;United States;North_America;
Meteo data;Blythe Riverside Co Arpt_NREL_TMY.MET;00/00/00 00h00;Blythe Riverside Co Arpt;NREL NSRD : TMY3;TMY;
Simulation variant;Blythe Riverside Co Arpt_Project.VC2;00/00/00 00h00;bays_40GCR_b;
Simulation date;;29/07/16 10h56

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;1.2397;-61.258;86.943;1.4138;2.0725;-90;-2.0725;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;7.6379;-55.965;70.878;9.1921;13.994;-90;-13.994;60.003;43.997;16.006;91.383;36.802;54.475;0.1051;95.601;39.449;55.974;0.1781;0.9946;1;0.9919;0.62;0.9611;0.9329;0.9811;0.9519;95.082;0.5189;0;0.4513
01/01/90 08:00;17.342;-45.877;42.722;23.51;55.96;-90;-55.96;218;104;114;415.17;280.98;131.58;2.6175;437.69;280.98;147.11;9.5971;0.9537;1;0.9097;0.2734;0.9946;1;0.9832;0.9976;417.43;20.26;0;13.287
01/01/90 09:00;25.358;-33.776;48.688;40.447;49.553;-90;-49.553;260;198;61.999;277.89;95.568;179.76;2.5714;302.33;95.568;197.63;9.1326;0.9289;1;0.9244;0.2816;0.9896;1;0.9839;0.9998;280.83;21.502;0;14.941
01/01/90 10:00;30.973;-19.437;53.954;60.995;29.005;-90;-29.005;469;156;312.99;523.81;356.47;165.54;1.8031;537.39;357.88;173.63;5.8823;0.9826;1;0.9686;0.3346;0.992;0.996;0.9843;0.916;528.03;9.3623;0;5.4485
01/01/90 11:00;33.454;-3.3545;56.398;84.939;5.0609;-90;-5.0609;306.99;195;111.99;303.28;111.71;191.46;0.1067;308.54;112.43;195.99;0.1197;0.9992;1;0.9987;0.9002;0.9838;0.9936;0.9782;0.9899;308.28;0.26;0;0.2481
01/01/90 12:00;32.39;13.074;55.339;70.375;19.625;90;19.625;545;158;387;573.73;408.67;163.92;1.1412;583.41;410.86;169.38;3.1659;0.9922;1;0.9843;0.3991;0.9912;0.9947;0.9832;0.9032;578.86;4.5546;0;2.6522
01/01/90 13:00;27.965;28.233;51.092;48.298;41.702;90;41.702;371;199;172;425.14;230.12;192.76;2.2644;448.22;230.37;208.45;9.4006;0.956;1;0.9394;0.2448;0.9922;0.9989;0.9844;0.9838;428.49;19.73;0;12.631
01/01/90 14:00;20.828;41.243;44.651;29.988;60;90;60;255.99;162;93.995;351.38;188.06;160.7;2.6247;383.43;188.06;182.57;12.8;0.924;1;0.8959;0.2079;0.9918;1;0.9825;0.9866;354.28;29.146;0;19.007
01/01/90 15:00;11.732;52.092;59.925;14.746;24.108;90;24.108;202;113;89.004;361.6;217.19;143.88;0.5251;370.83;219.36;149.71;1.7619;0.9875;1;0.9769;0.3328;0.9874;0.9901;0.9839;0.8955;366.19;4.64;0;3.4645
01/01/90 16:00;3.4648;59.504;81.434;4.0194;5.9288;90;5.9288;8.0067;3.9991;4.0077;13.07;7.728;5.3384;0.0037;15.348;9.8775;5.4661;0.0043;0.9993;1;0.9982;0.8674;0.8522;0.7824;0.9784;0.9883;15.337;0.0105;0;0.01
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;1.215;-61.399;87.004;1.3838;2.0285;-90;-2.0285;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;7.6229;-56.108;70.917;9.159;13.939;-90;-13.939;15.998;15.998;0;13.891;0;13.863;0.0279;14.291;0;14.244;0.0471;0.9908;1;0.992;0.6219;0.9811;1;0.9811;0.9522;14.159;0.1318;0;0.114
02/01/90 08:00;17.347;-46.026;42.705;23.463;55.447;-90;-55.447;276;98;178;571.77;438.7;129.81;3.2647;595.57;438.7;144.93;11.946;0.9637;1;0.9109;0.2738;0.9961;1;0.9833;0.9982;573.98;21.591;0;12.916
02/01/90 09:00;25.388;-33.931;48.554;40.372;49.628;-90;-49.628;316.99;186;130.99;386.36;202.23;180.98;3.1426;412.41;202.23;199.02;11.166;0.944;1;0.9242;0.2815;0.9924;1;0.9839;0.9999;389.31;23.103;0;15.079
02/01/90 10:00;31.033;-19.588;53.831;60.872;29.128;-90;-29.128;530;96;434;603.17;494.93;106.19;2.0517;614.94;496.83;111.41;6.7027;0.987;1;0.9684;0.334;0.9938;0.9962;0.9843;0.9165;606.95;7.987;0;3.5228
