PVSYST v6.43
;File;File date;Description
Project;Blythe Riverside Co Arpt_Project.PRJ;00/00/00 00h00;Blythe;
Geographical Site;New.SIT;00/00/00 00h00;Blythe Riverside Co Arpt;United States;North_America;
Meteo data;Blythe Riverside Co Arpt_NREL_TMY.MET;00/00/00 00h00;Blythe Riverside Co Arpt;NREL NSRD : TMY3;TMY;
Simulation variant;Blythe Riverside Co Arpt_Project.VC8;00/00/00 00h00;bays_35GCR_flat;
Simulation date;;29/07/16 11h29

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;1.2397;-61.258;88.76;2.5767;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;7.6379;-55.965;82.362;13.474;60.003;43.997;16.006;55.155;12.166;42.988;0;60.003;16.006;43.997;0;1;1;1;1;0.9192;0.7601;0.9771;1;60.003;0;0;0
01/01/90 08:00;17.342;-45.877;72.658;24.158;218;104;114;206.09;104.48;101.61;0;218;114;104;0;1;1;1;1;0.9454;0.9165;0.9771;1;218;0;0;0
01/01/90 09:00;25.358;-33.776;64.642;29.691;260;198;61.999;253.71;60.248;193.46;0;260;61.999;198;0;1;1;1;1;0.9758;0.9718;0.9771;1;260;0;0;0
01/01/90 10:00;30.973;-19.437;59.027;32.476;469;156;312.99;462.59;310.17;152.42;0;469;312.99;156;0;1;1;1;1;0.9863;0.991;0.9771;1;469;0;0;0
01/01/90 11:00;33.454;-3.3545;56.546;33.499;306.99;195;111.99;301.79;111.26;190.53;0;306.99;111.99;195;0;1;1;1;1;0.983;0.9935;0.9771;1;306.99;0;0;0
01/01/90 12:00;32.39;13.074;57.61;33.074;545;158;387;538.43;384.05;154.38;0;545;387;158;0;1;1;1;1;0.9879;0.9924;0.9771;1;545;0;0;0
01/01/90 13:00;27.965;28.233;62.035;31.074;371;199;172;363.52;169.09;194.44;0;371;172;199;0;1;1;1;1;0.9799;0.9831;0.9771;1;371;0;0;0
01/01/90 14:00;20.828;41.243;69.172;26.837;255.99;162;93.995;247.21;88.927;158.29;0;255.99;93.995;162;0;1;1;1;1;0.9657;0.9461;0.9771;1;255.99;0;0;0
01/01/90 15:00;11.732;52.092;78.268;18.675;202;113;89.004;185.39;74.983;110.41;0;202;89.004;113;0;1;1;1;1;0.9178;0.8425;0.9771;1;202;0;0;0
01/01/90 16:00;3.4648;59.504;86.535;6.8038;8.0067;3.9991;4.0077;0;0;0;0;8.0067;4.0077;3.9991;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;1.215;-61.399;88.785;2.5368;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;7.6229;-56.108;82.377;13.496;15.998;15.998;0;15.631;0;15.631;0;15.998;0;15.998;0;1;1;1;1;0.9771;1;0.9771;1;15.998;0;0;0
02/01/90 08:00;17.347;-46.026;72.653;24.222;276;98;178;258.89;163.13;95.753;0;276;178;98;0;1;1;1;1;0.938;0.9165;0.9771;1;276;0;0;0
02/01/90 09:00;25.388;-33.931;64.612;29.769;316.99;186;130.99;309.05;127.31;181.74;0;316.99;130.99;186;0;1;1;1;1;0.9749;0.9719;0.9771;1;316.99;0;0;0
02/01/90 10:00;31.033;-19.588;58.967;32.562;530;96;434;523.9;430.1;93.799;0;530;434;96;0;1;1;1;1;0.9885;0.991;0.9771;1;530;0;0;0
02/01/90 11:00;33.544;-3.4867;56.456;33.593;577.01;65.003;512;572.21;508.7;63.513;0;577.01;512;65.003;0;1;1;1;1;0.9917;0.9935;0.9771;1;577.01;0;0;0
02/01/90 12:00;32.505;12.975;57.495;33.181;550.99;82.003;468.99;545.6;465.48;80.123;0;550.99;468.99;82.003;0;1;1;1;1;0.9902;0.9925;0.9771;1;550.99;0;0;0
02/01/90 13:00;28.097;28.172;61.903;31.2;503;60.997;442;494.34;434.74;59.599;0;503;442;60.997;0;1;1;1;1;0.9828;0.9836;0.9771;1;503;0;0;0
02/01/90 14:00;20.968;41.214;69.032;26.996;377.99;60.997;317;359.81;300.22;59.599;0;377.99;317;60.997;0;1;1;1;1;0.9519;0.9471;0.9771;1;377.99;0;0;0
02/01/90 15:00;11.874;52.087;78.126;18.89;214;58.997;155;188.59;130.95;57.645;0;214;155;58.997;0;1;1;1;1;0.8813;0.8448;0.9771;1;214;0;0;0
02/01/90 16:00;3.4276;59.658;86.572;6.7617;9.0036;3.003;6.0007;0;0;0;0;9.0036;6.0007;3.003;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
