PVSYST v6.43
;File;File date;Description
Project;Cedar City Municipal Ap_Project.PRJ;00/00/00 00h00;Cedar City;
Geographical Site;New.SIT;00/00/00 00h00;Cedar City Municipal Ap;United States;North_America;
Meteo data;Cedar City Municipal Ap_NREL_TMY.MET;00/00/00 00h00;Cedar City Municipal Ap;NREL NSRD : TMY3;TMY;
Simulation variant;Cedar City Municipal Ap_Project.VC3;00/00/00 00h00;bays_60GCR_b;
Simulation date;;29/07/16 11h43

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;0.7379;-59.946;89.262;1.4731;0;0;0;8.0003;3.9997;4.0006;0;0;0;0;8.0003;4.0006;3.9997;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;6.3929;-54.515;79.469;7.8347;5.0947;-90;-5.0947;73.995;19.999;53.996;96.502;72.804;23.673;0.0253;112.94;88.63;24.284;0.0292;0.9992;1;0.9965;0.8712;0.8551;0.8214;0.9782;0.993;112.85;0.0889;0;0.0852
01/01/90 09:00;15.377;-43.813;64.198;21.665;15.634;-90;-15.634;176.01;55;121.01;265.12;193.43;71.399;0.2904;273.59;198.62;74.315;0.6512;0.9929;1;0.9784;0.4694;0.976;0.9739;0.982;0.95;271.63;1.9522;0;1.6066
01/01/90 10:00;22.628;-31.359;52.017;38.693;51.307;-90;-51.307;331;84.003;247;496.86;394.3;100.13;2.4313;525.06;395.1;117.56;12.407;0.9511;1;0.8664;0.1964;0.9949;0.998;0.9831;0.9976;499.39;25.67;0;15.7
01/01/90 11:00;27.51;-17.076;57.976;60.584;29.416;-90;-29.416;407;138;269;447.27;306.36;139.87;1.0539;465.35;308.82;151.29;5.2472;0.9714;1;0.9392;0.2205;0.9894;0.992;0.9844;0.911;452.06;13.292;0;9.2017
01/01/90 12:00;29.433;-1.4992;60.532;87.345;2.6548;-90;-2.6548;348;177;171;342.52;169.19;173.3;0.0351;348.73;171.18;177.51;0.0373;0.9993;1;0.9987;0.9416;0.9829;0.9883;0.9776;0.9971;348.48;0.2408;0;0.2387
01/01/90 13:00;28.115;14.204;58.764;65.332;24.668;90;24.668;157;152;5.0039;138.83;5.4581;132.96;0.4149;148.24;5.5064;141.3;1.4327;0.9517;1;0.9562;0.3201;0.9841;0.9912;0.9841;0.9047;141.07;7.1624;0;6.1883
01/01/90 14:00;23.751;28.795;53.333;42.413;47.587;90;47.587;173;171;2.0016;127.47;2.9578;122.97;1.5489;149.91;2.9677;141.31;5.6317;0.8642;1;0.8848;0.2764;0.984;0.9967;0.9835;0.9951;129.55;20.359;0;16.284
01/01/90 15:00;16.898;41.603;61.503;24.586;18.486;90;18.486;105;103;2.0028;99.039;3.2382;95.591;0.21;103.81;3.2874;99.979;0.5418;0.9706;1;0.9726;0.4205;0.9829;0.985;0.983;0.9216;100.76;3.049;0;2.735
01/01/90 16:00;8.1968;52.611;76.466;10.276;6.7503;90;6.7503;49.994;49.994;0;48.577;0;48.548;0.0288;49.892;0;49.857;0.0347;0.9948;1;0.9949;0.8415;0.9787;1;0.9787;0.9869;49.632;0.2596;0;0.2542
01/01/90 17:00;1.6475;59.119;87.295;1.9194;1.2321;90;1.2321;11.005;11.003;0.001;10.749;0;10.749;0.0002;11.004;0;11.003;0.0003;0.9996;1;0.9996;0.9802;0.9773;1;0.9773;0.9984;10.999;0.0047;0;0.0047
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;0.7241;-60.087;89.276;1.4518;0;0;0;5.9921;3.9997;1.9923;0;0;0;0;5.9921;1.9923;3.9997;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;6.3881;-54.658;79.477;7.8151;5.0816;-90;-5.0816;65.994;57.996;7.9983;72.384;10.782;61.579;0.0225;76.324;13.129;63.17;0.0259;0.9971;1;0.9965;0.8717;0.9512;0.8213;0.9782;0.9931;76.1;0.224;0;0.2206
02/01/90 09:00;15.392;-43.96;64.172;21.633;15.605;-90;-15.605;142.99;82.003;60.99;187.69;97.508;89.945;0.2357;194.25;100.11;93.613;0.5271;0.9882;1;0.9784;0.4706;0.9778;0.974;0.982;0.9503;191.95;2.2964;0;2.0174
02/01/90 10:00;22.667;-31.508;51.88;38.628;51.372;-90;-51.372;318;162;156.01;398.84;249.43;147.06;2.3405;434.55;249.9;172.7;11.948;0.9247;1;0.8662;0.1964;0.9925;0.9981;0.983;0.9976;401.85;32.704;0;23.101
