PVSYST v6.43
;File;File date;Description
Project;Cedar City Municipal Ap_Project.PRJ;00/00/00 00h00;Cedar City;
Geographical Site;New.SIT;00/00/00 00h00;Cedar City Municipal Ap;United States;North_America;
Meteo data;Cedar City Municipal Ap_NREL_TMY.MET;00/00/00 00h00;Cedar City Municipal Ap;NREL NSRD : TMY3;TMY;
Simulation variant;Cedar City Municipal Ap_Project.VC6;00/00/00 00h00;bays_40GCR;
Simulation date;;29/07/16 11h50

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;0.7379;-59.946;89.262;1.4731;0;0;0;8.0003;3.9997;4.0006;0;0;0;0;8.0003;4.0006;3.9997;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;6.3929;-54.515;40.847;7.8347;60;-90;-60;73.995;19.999;53.996;254.21;203.8;49.417;0.9966;426.41;366.84;55.877;3.6997;0.5982;0.5556;0.9001;0.2722;0.9965;1;0.9826;0.9897;255.1;171.31;163.04;5.5828
01/01/90 09:00;15.377;-43.813;44.71;21.665;60;-90;-60;176.01;55;121.01;400.26;307.81;90.075;2.3707;434.95;324.3;101.85;8.8003;0.924;0.9491;0.9001;0.2722;0.996;1;0.9826;0.9897;401.88;33.075;16.494;10.176
01/01/90 10:00;22.628;-31.359;52.017;38.693;51.307;-90;-51.307;331;84.003;247;504.21;394.3;106.45;3.4583;525.06;395.1;117.56;12.407;0.9651;1;0.9204;0.2786;0.995;0.998;0.9838;1.0004;506.76;18.304;0;9.3537
01/01/90 11:00;27.51;-17.076;57.976;60.584;29.416;-90;-29.416;407;138;269;452.08;306.36;144.12;1.6013;465.35;308.82;151.29;5.2472;0.982;1;0.9678;0.3325;0.9893;0.992;0.9843;0.9179;456.98;8.3724;0;4.8697
01/01/90 12:00;29.433;-1.4992;60.532;87.345;2.6548;-90;-2.6548;348;177;171;342.67;169.19;173.45;0.0355;348.73;171.18;177.51;0.0373;0.9998;1;0.9996;0.9555;0.9829;0.9883;0.9776;0.9955;348.65;0.0759;0;0.0743
01/01/90 13:00;28.115;14.204;58.764;65.332;24.668;90;24.668;157;152;5.0039;141.55;5.4581;135.67;0.4196;148.24;5.5064;141.3;1.4327;0.9705;1;0.9758;0.3268;0.9839;0.9912;0.9839;0.896;143.86;4.378;0;3.4135
01/01/90 14:00;23.751;28.795;53.333;42.413;47.587;90;47.587;173;171;2.0016;132.99;2.9578;128.77;1.2612;149.91;2.9677;141.31;5.6317;0.9011;1;0.926;0.2247;0.9845;0.9967;0.9841;0.9967;135.09;14.821;0;10.454
01/01/90 15:00;16.898;41.603;45.932;24.586;60;90;60;105;103;2.0028;72.509;4.7923;66.64;1.0766;85.753;4.7923;75.711;5.25;0.8596;1;0.8959;0.2079;0.9837;1;0.9825;0.9866;73.712;12.041;0;7.8821
01/01/90 16:00;8.1968;52.611;41.206;10.276;60;90;60;49.994;49.994;0;33.604;0;33.091;0.5126;40.095;0;37.596;2.4997;0.853;1;0.8959;0.2079;0.9825;1;0.9825;0.9866;34.201;5.8941;0;3.914
01/01/90 17:00;1.6475;59.119;40.772;1.9194;60;90;60;11.005;11.003;0.001;9.798;0;9.6852;0.1128;11.554;0;11.003;0.5502;0.8631;1;0.8959;0.2079;0.9825;1;0.9825;0.9866;9.9723;1.5814;0;1.1456
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;0.7241;-60.087;89.276;1.4518;0;0;0;5.9921;3.9997;1.9923;0;0;0;0;5.9921;1.9923;3.9997;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;6.3881;-54.658;40.74;7.8151;60;-90;-60;65.994;57.996;7.9983;113.62;30.22;82.511;0.8889;151.06;54.467;93.297;3.2997;0.7619;0.5548;0.9001;0.2722;0.9872;1;0.9826;0.9897;115.09;35.97;24.247;9.3215
02/01/90 09:00;15.392;-43.96;44.578;21.633;60;-90;-60;142.99;82.003;60.99;245.89;155.2;88.761;1.926;271.19;163.68;100.36;7.1497;0.9126;0.9482;0.9001;0.2722;0.9936;1;0.9826;0.9897;247.49;23.705;8.4738;10.028
02/01/90 10:00;22.667;-31.508;51.88;38.628;51.372;-90;-51.372;318;162;156.01;409.12;249.43;156.36;3.3291;434.55;249.9;172.7;11.948;0.9485;1;0.9203;0.2785;0.9926;0.9981;0.9838;1.0005;412.17;22.388;0;13.767
