PVSYST v6.43
;File;File date;Description
Project;Cedar City Municipal Ap_Project.PRJ;00/00/00 00h00;Cedar City;
Geographical Site;New.SIT;00/00/00 00h00;Cedar City Municipal Ap;United States;North_America;
Meteo data;Cedar City Municipal Ap_NREL_TMY.MET;00/00/00 00h00;Cedar City Municipal Ap;NREL NSRD : TMY3;TMY;
Simulation variant;Cedar City Municipal Ap_Project.VC8;00/00/00 00h00;bays_35GCR_flat;
Simulation date;;29/07/16 11h56

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;0.7379;-59.946;89.262;1.4731;8.0003;3.9997;4.0006;0;0;0;0;8.0003;4.0006;3.9997;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;6.3929;-54.515;83.607;10.924;73.995;19.999;53.996;58.75;39.21;19.54;0;73.995;53.996;19.999;0;1;1;1;1;0.794;0.7262;0.9771;1;73.995;0;0;0
01/01/90 09:00;15.377;-43.813;74.623;20.863;176.01;55;121.01;162;108.26;53.739;0;176.01;121.01;55;0;1;1;1;1;0.9204;0.8947;0.9771;1;176.01;0;0;0
01/01/90 10:00;22.628;-31.359;67.372;26.018;331;84.003;247;318.61;236.53;82.077;0;331;247;84.003;0;1;1;1;1;0.9626;0.9576;0.9771;1;331;0;0;0
01/01/90 11:00;27.51;-17.076;62.49;28.582;407;138;269;398.81;263.97;134.83;0;407;269;138;0;1;1;1;1;0.9799;0.9813;0.9771;1;407;0;0;0
01/01/90 12:00;29.433;-1.4992;60.567;29.442;348;177;171;341.93;168.98;172.94;0;348;171;177;0;1;1;1;1;0.9826;0.9882;0.9771;1;348;0;0;0
01/01/90 13:00;28.115;14.204;61.885;28.86;157;152;5.0039;153.44;4.922;148.51;0;157;5.0039;152;0;1;1;1;1;0.9773;0.9836;0.9771;1;157;0;0;0
01/01/90 14:00;23.751;28.795;66.249;26.663;173;171;2.0016;169.01;1.9292;167.08;0;173;2.0016;171;0;1;1;1;1;0.9769;0.9638;0.9771;1;173;0;0;0
01/01/90 15:00;16.898;41.603;73.102;22.11;105;103;2.0028;102.46;1.8263;100.64;0;105;2.0028;103;0;1;1;1;1;0.9758;0.9119;0.9771;1;105;0;0;0
01/01/90 16:00;8.1968;52.611;81.803;13.345;49.994;49.994;0;48.848;0;48.848;0;49.994;0;49.994;0;1;1;1;1;0.9771;1;0.9771;1;49.994;0;0;0
01/01/90 17:00;1.6475;59.119;88.353;3.2073;11.005;11.003;0.001;10.752;0.0005;10.751;0;11.005;0.001;11.003;0;1;1;1;1;0.977;0.4473;0.9771;1;11.005;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;0.7241;-60.087;89.276;1.4518;5.9921;3.9997;1.9923;0;0;0;0;5.9921;1.9923;3.9997;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;6.3881;-54.658;83.612;10.954;65.994;57.996;7.9983;62.473;5.8071;56.666;0;65.994;7.9983;57.996;0;1;1;1;1;0.9466;0.726;0.9771;1;65.994;0;0;0
02/01/90 09:00;15.392;-43.96;74.608;20.929;142.99;82.003;60.99;134.7;54.577;80.123;0;142.99;60.99;82.003;0;1;1;1;1;0.942;0.8948;0.9771;1;142.99;0;0;0
02/01/90 10:00;22.667;-31.508;67.333;26.098;318;162;156.01;307.71;149.43;158.28;0;318;156.01;162;0;1;1;1;1;0.9676;0.9579;0.9771;1;318;0;0;0
02/01/90 11:00;27.577;-17.218;62.423;28.669;425;134;291;416.56;285.63;130.93;0;425;291;134;0;1;1;1;1;0.9801;0.9816;0.9771;1;425;0;0;0
02/01/90 12:00;29.527;-1.6225;60.473;29.537;481;206;275;473.12;271.84;201.28;0;481;275;206;0;1;1;1;1;0.9836;0.9885;0.9771;1;481;0;0;0
02/01/90 13:00;28.231;14.11;61.769;28.969;186;186;0;181.73;0;181.73;0;186;0;186;0;1;1;1;1;0.9771;1;0.9771;1;186;0;0;0
02/01/90 14:00;23.882;28.734;66.118;26.792;223.99;173;50.991;218.22;49.182;169.03;0;223.99;50.991;173;0;1;1;1;1;0.9742;0.9645;0.9771;1;223.99;0;0;0
02/01/90 15:00;17.037;41.57;72.963;22.274;96.004;96.002;0.0018;93.802;0.0017;93.801;0;96.004;0.0018;96.002;0;1;1;1;1;0.9771;0.9133;0.9771;1;96.004;0;0;0
02/01/90 16:00;8.3389;52.6;81.661;13.568;51.006;49.997;1.0095;49.635;0.7848;48.85;0;51.006;1.0095;49.997;0;1;1;1;1;0.9731;0.7775;0.9771;1;51.006;0;0;0
02/01/90 17:00;1.79;59.119;88.21;3.4844;8.9963;8.9963;0;0;0;0;0;8.9963;0;8.9963;0;1;1;1;1;1;1;1;1;0;0;0;0
