PVSYST v6.43
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;USA;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VC0;00/00/00 00h00;20_2GCR;
Simulation date;;13/06/16 14h32

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;2.7752;-58.087;40.67;3.2683;60;-90;-60;3;0.9976;2.0024;19.467;16.061;3.341;0.0652;35.053;31.369;3.5343;0.15;0.557;0.512;0.9615;0.4414;0.997;1;0.9832;0.9841;19.525;15.528;15.308;0.1361
01/01/90 08:00;10.165;-50.441;41.803;13.092;60;-90;-60;126;43;83.001;441.46;350.59;88.135;2.7368;450.12;350.59;93.234;6.3;0.9842;1;0.9615;0.4414;0.9965;1;0.9832;0.9841;443.01;7.11;0;3.5909
01/01/90 09:00;18.533;-39.079;47.426;28.003;60;-90;-60;276;71.998;204;544.25;434.23;104.03;5.9948;558.08;434.23;110.05;13.8;0.9786;1;0.9615;0.4414;0.9966;1;0.9832;0.9841;546.13;11.947;0;4.2385
01/01/90 10:00;24.922;-25.877;54.682;46.792;43.208;-90;-43.208;399;91.998;307;535.58;419.23;111.45;4.9027;547.87;421.2;115.85;10.818;0.9846;1;0.9772;0.4626;0.9929;0.9953;0.9844;0.9797;539.42;8.455;0;2.6414
01/01/90 11:00;28.687;-10.97;59.455;70.824;19.176;-90;-19.176;471;107;364.01;496.78;381.75;113.5;1.5332;504.32;385.39;116.32;2.6134;0.9966;1;0.9931;0.6519;0.9884;0.9905;0.9825;0.8999;502.61;1.7086;0;0.799
01/01/90 12:00;29.326;4.8237;60.315;81.487;8.5133;90;8.5133;486;104;382.01;487.78;382.03;105.3;0.4563;494.56;386.26;107.76;0.5355;0.9995;1;0.9981;0.8793;0.9868;0.989;0.979;0.9692;494.29;0.2652;0;0.2005
01/01/90 13:00;26.742;20.214;56.933;55.561;34.439;90;34.439;438;114;324;522.31;390.14;128.54;3.6338;533.27;392.86;132.73;7.6771;0.9889;1;0.9839;0.5044;0.9905;0.9931;0.9843;0.9385;527.32;5.9426;0;2.1376
01/01/90 14:00;21.306;34.134;50.457;34.8;55.2;90;55.2;354;108;246;571.26;430.84;133.83;6.5974;587.01;431.04;140.77;15.197;0.9774;1;0.9664;0.4384;0.9957;0.9995;0.9838;0.9902;573.74;13.268;0;4.7336
01/01/90 15:00;13.637;46.197;43.506;18.581;60;90;60;196.01;96.003;100;446.59;307.63;134.7;4.2554;459.92;307.63;142.49;9.8003;0.9762;1;0.9615;0.4412;0.9947;1;0.9832;0.9841;448.96;10.962;0;5.4859
01/01/90 16:00;4.6865;56.25;40.666;5.6308;60;90;60;33;16.003;16.997;165.33;105.58;59.03;0.7164;221.89;157.8;62.444;1.65;0.7497;0.6691;0.9615;0.4412;0.9939;1;0.9832;0.9841;166.35;55.545;52.219;2.4041
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;2.7643;-58.229;40.578;3.2505;60;-90;-60;1.9949;1.9949;0;0;0;0;0;0.0193;0;-0.0804;0.0997;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;10.167;-50.586;41.684;13.069;60;-90;-60;122;45.002;76.994;419.09;325.75;90.691;2.6498;427.78;325.75;95.937;6.0998;0.9834;1;0.9615;0.4414;0.9962;1;0.9832;0.9841;420.68;7.1023;0;3.695
02/01/90 09:00;18.557;-39.227;47.288;27.961;60;-90;-60;267;82.002;185;514.62;394.32;114.5;5.7993;528.8;394.32;121.12;13.35;0.9771;1;0.9615;0.4414;0.996;1;0.9832;0.9841;516.67;12.122;0;4.6651
02/01/90 10:00;24.971;-26.025;54.548;46.706;43.294;-90;-43.294;350;144;206;442.77;281.74;156.72;4.3147;455.47;283.03;162.92;9.5253;0.9806;1;0.9771;0.4623;0.9914;0.9955;0.9844;0.9799;446.63;8.8482;0;3.7261
