PVSYST v6.42
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;United States;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VC1;28/03/16 15h04;panel az = +20, panel tilt = 20;
Simulation date;;28/03/16 15h06

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;GlobHor;T Amb;GlobEff;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;DiffHor;BeamHor;GlobInc;BeamInc;DifSInc;Alb Inc
    ;W/m�;캜;W/m�;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;6.1998;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 01:00;0;6.4001;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 02:00;0;6.4001;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 03:00;0;6.5999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 04:00;0;6.7997;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 05:00;0;7.0001;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 06:00;0;6.9002;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 07:00;3;7.2998;41.205;2.7752;-58.087;25.259;2.7754;61.976;-58.83;-60;0.9976;2.0024;41.587;37.404;4.0238;0.159
01/01/90 08:00;126;7.6999;553.11;10.165;-50.441;19.522;10.272;61.976;-58.83;-60;43;83.001;559.8;443.28;109.85;6.68
01/01/90 09:00;276;8.7;741.22;18.533;-39.079;20.435;19.605;61.976;-58.83;-60;71.998;204;750.67;601.44;134.59;14.632
01/01/90 10:00;399;8.9997;801.47;24.922;-25.877;26.691;27.398;49.94;-52.179;-46.773;91.998;307;813.26;650.94;148.1;14.221
01/01/90 11:00;471;9.3999;788.61;28.687;-10.97;32.865;32.501;37.585;-41.779;-32.509;107;364.01;802.29;636.95;155.56;9.7758
01/01/90 12:00;486;10.5;743.29;29.326;4.8237;38.549;32.131;26.001;-21.737;-16.968;104;382.01;758.25;609.99;143.35;4.9191
01/01/90 13:00;438;10.5;662.99;26.742;20.214;43.257;26.743;20.002;20.766;0.2619;114;324;679.28;524.39;152.25;2.6419
01/01/90 14:00;354;11.1;603.55;21.306;34.134;46.443;24.581;27.502;65.643;19.279;108;246;620.69;466.53;150.16;4.0003
01/01/90 15:00;196.01;11.1;420.62;13.637;46.197;47.625;17.896;43.554;87.492;39.535;96.003;100;434.03;285.86;142.78;5.3956
01/01/90 16:00;33;9.9998;196.19;4.6865;56.25;46.663;6.3161;61.215;98.465;59.174;16.003;16.997;202.01;142.77;57.53;1.711
01/01/90 17:00;0;8.2999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 18:00;0;7.6999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 19:00;0;7.1999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 20:00;0;5.4999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 21:00;0;4.9999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 22:00;0;4.4998;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/01/90 23:00;0;3.9997;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 00:00;0;3.6002;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 01:00;0;3.2;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 02:00;0;2.7999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 03:00;0;2.5002;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 04:00;0;2.1999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 05:00;0;2.0001;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 06:00;0;1.6;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 07:00;1.9949;1.0999;0;2.7643;-58.229;25.267;2.7644;61.976;-58.83;-60;1.9949;0;-0.3062;0;-0.412;0.1058
01/02/90 08:00;122;3.2999;523.77;10.167;-50.586;19.465;10.271;61.976;-58.83;-60;45.002;76.994;530.45;411.25;112.73;6.4676
01/02/90 09:00;267;4.9999;696.78;18.557;-39.227;20.302;19.613;61.976;-58.83;-60;82.002;185;706.45;545.21;147.09;14.155
01/02/90 10:00;350;6.5999;636.51;24.971;-26.025;26.557;27.428;49.991;-52.211;-46.829;144;206;648.86;436.48;199.89;12.498
01/02/90 11:00;431;8.7999;693.26;28.764;-11.106;32.732;32.563;37.637;-41.837;-32.572;145;286;707.21;499.95;198.29;8.9695
01/02/90 12:00;442.01;8.8998;645.03;29.429;4.7112;38.42;32.246;26.05;-21.874;-17.045;151;291.01;659.78;464.02;191.27;4.4901
01/02/90 13:00;364.01;8.7999;494.8;26.865;20.133;43.134;26.866;20.001;20.475;0.1626;185;179.01;509.26;289.07;217.99;2.1954
01/02/90 14:00;268.01;9.3999;385.23;21.441;34.085;46.331;24.696;27.416;65.437;19.151;167;101.01;398.18;190.8;204.36;3.0101
01/02/90 15:00;205.01;8.7999;388.94;13.778;46.174;47.528;18.053;43.42;87.38;39.38;126;79.007;402.05;223.99;172.45;5.6102
01/02/90 16:00;36;8.2999;172.57;4.829;56.245;46.583;6.5001;61.057;98.388;59.002;22.002;13.998;177.92;114.29;61.776;1.8578
01/02/90 17:00;0;7.1999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 18:00;0;4.9999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 19:00;0;4.3999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 20:00;0;3.8;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 21:00;0;3.2999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 22:00;0;2.7999;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/02/90 23:00;0;2.4003;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/03/90 00:00;0;1.9002;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/03/90 01:00;0;1.6;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/03/90 02:00;0;1.1998;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/03/90 03:00;0;0.9001;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/03/90 04:00;0;0.5998;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/03/90 05:00;0;0.4001;0;0;0;90;0;20;20;0;0;0;0;0;0;0
01/03/90 06:00;0;-0.0001;0;0;0;90;0;20;20;0;0;0;0;0;0;0
