PVSYST v6.42
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;United States;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VC2;28/03/16 16h24;panel az = +20 tilt = 0;
Simulation date;;28/03/16 16h25

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;GlobHor;T Amb;GlobEff;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;DiffHor;BeamHor;GlobInc;BeamInc;DifSInc;Alb Inc
    ;W/m�;캜;W/m�;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;6.1998;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 01:00;0;6.4001;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 02:00;0;6.4001;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 03:00;0;6.5999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 04:00;0;6.7997;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 05:00;0;7.0001;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 06:00;0;6.9002;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 07:00;3;7.2998;39.614;2.7752;-58.087;29.473;2.8362;60;-70;-60;0.9976;2.0024;40.068;36.006;3.9118;0.15
01/01/90 08:00;126;7.6999;523.73;10.165;-50.441;26.94;10.773;60;-70;-60;43;83.001;531.31;419.28;105.73;6.3
01/01/90 09:00;276;8.7;685.34;18.533;-39.079;30.307;21.344;60;-70;-60;71.998;204;695.82;554.12;127.9;13.8
01/01/90 10:00;399;8.9997;703.61;24.922;-25.877;39.152;32.914;57.086;-70;-57.086;91.998;307;718.22;564.99;135.01;18.219
01/01/90 11:00;471;9.3999;628.63;28.687;-10.97;48.781;46.758;43.242;-70;-43.242;107;364.01;648.02;499.68;135.55;12.789
01/01/90 12:00;486;10.5;519.45;29.326;4.8237;57.293;65.014;24.986;-70;-24.986;104;382.01;542.95;421.45;116.95;4.5485
01/01/90 13:00;438;10.5;418.65;26.742;20.214;62.834;26.743;0.4239;20;0.4239;114;324;443.69;328.75;114.93;0.0012
01/01/90 14:00;354;11.1;391.35;21.306;34.134;64.615;57.947;32.053;110;32.053;108;246;416.44;290.25;120.79;5.3964
01/01/90 15:00;196.01;11.1;316.69;13.637;46.197;60.697;28.792;60;110;60;96.003;100;333.02;207.59;115.63;9.8003
01/01/90 16:00;33;9.9998;157.83;4.6865;56.25;56.548;7.893;60;110;60;16.003;16.997;164.81;114.68;48.481;1.65
01/01/90 17:00;0;8.2999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 18:00;0;7.6999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 19:00;0;7.1999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 20:00;0;5.4999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 21:00;0;4.9999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 22:00;0;4.4998;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/01/90 23:00;0;3.9997;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 00:00;0;3.6002;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 01:00;0;3.2;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 02:00;0;2.7999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 03:00;0;2.5002;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 04:00;0;2.1999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 05:00;0;2.0001;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 06:00;0;1.6;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 07:00;1.9949;1.0999;0;2.7643;-58.229;29.432;2.8236;60;-70;-60;1.9949;0;-0.2082;0;-0.308;0.0997
01/02/90 08:00;122;3.2999;496.34;10.167;-50.586;26.847;10.766;60;-70;-60;45.002;76.994;503.87;389.16;108.6;6.0998
01/02/90 09:00;267;4.9999;645.39;18.557;-39.227;30.171;21.341;60;-70;-60;82.002;185;656;502.57;140.08;13.35
01/02/90 10:00;350;6.5999;562.9;24.971;-26.025;39.009;32.908;57.092;-70;-57.092;144;206;577;379.17;181.84;15.985
01/02/90 11:00;431;8.7999;560.27;28.764;-11.106;48.639;46.737;43.263;-70;-43.263;145;286;578.64;392.73;174.2;11.714
01/02/90 12:00;442.01;8.8998;465.41;29.429;4.7112;57.155;64.948;25.052;-70;-25.052;151;291.01;486.64;321.23;161.26;4.1581
01/02/90 13:00;364.01;8.7999;346.55;26.865;20.133;62.872;26.866;0.2625;20;0.2625;185;179.01;366.16;180.62;185.54;0.0004
01/02/90 14:00;268.01;9.3999;276.74;21.441;34.085;64.53;58.214;31.786;110;31.786;167;101.01;292.7;118.83;169.85;4.0196
01/02/90 15:00;205.01;8.7999;296.3;13.778;46.174;60.654;29.071;60;110;60;126;79.007;311.35;162.58;138.52;10.25
01/02/90 16:00;36;8.2999;140.06;4.829;56.245;56.475;8.1319;60;110;60;22.002;13.998;146.29;91.84;52.653;1.8
01/02/90 17:00;0;7.1999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 18:00;0;4.9999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 19:00;0;4.3999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 20:00;0;3.8;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 21:00;0;3.2999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 22:00;0;2.7999;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/02/90 23:00;0;2.4003;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/03/90 00:00;0;1.9002;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/03/90 01:00;0;1.6;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/03/90 02:00;0;1.1998;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/03/90 03:00;0;0.9001;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/03/90 04:00;0;0.5998;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/03/90 05:00;0;0.4001;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/03/90 06:00;0;-0.0001;0;0;0;90;0;0;20;0;0;0;0;0;0;0
01/03/90 07:00;1.9949;-0.6001;0;2.7589;-58.376;29.384;2.8165;60;-70;-60;1.9949;0;-0.2088;0;-0.3086;0.0997
