PVSYST v6.42
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;United States;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VC3;28/03/16 17h48;panel az = +20 tilt = -20;
Simulation date;;28/03/16 17h49

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;GlobHor;T Amb;GlobEff;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;DiffHor;BeamHor;GlobInc;BeamInc;DifSInc;Alb Inc
    ;W/m�;캜;W/m�;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;6.1998;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 01:00;0;6.4001;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 02:00;0;6.4001;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 03:00;0;6.5999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 04:00;0;6.7997;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 05:00;0;7.0001;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 06:00;0;6.9002;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 07:00;3;7.2998;37.936;2.7752;-58.087;33.502;3.0163;61.976;-81.17;-60;0.9976;2.0024;38.433;34.487;3.7863;0.159
01/01/90 08:00;126;7.6999;489.1;10.165;-50.441;33.921;11.782;61.976;-81.17;-60;43;83.001;497.15;390.27;100.2;6.68
01/01/90 09:00;276;8.7;615.63;18.533;-39.079;39.607;24.311;61.976;-81.17;-60;71.998;204;627.79;494.49;118.67;14.632
01/01/90 10:00;399;8.9997;601.5;24.922;-25.877;49.171;39.216;61.976;-81.17;-60;91.998;307;619.02;476.34;121.53;21.153
01/01/90 11:00;471;9.3999;485.14;28.687;-10.97;60.801;58.241;61.976;-81.17;-60;107;364.01;509.17;369.94;114.26;24.97
01/01/90 12:00;486;10.5;302.8;29.326;4.8237;73.378;88.777;55.495;-84.489;-52.927;104;382.01;334.28;223.12;90.093;21.069
01/01/90 13:00;438;10.5;133.76;26.742;20.214;83.255;153.17;20.063;-164.74;1.6243;114;324;168.83;84.572;81.598;2.658
01/01/90 14:00;354;11.1;223.63;21.306;34.134;77.687;82.447;61.976;121.17;60;108;246;253.93;144.38;90.788;18.768
01/01/90 15:00;196.01;11.1;230.62;13.637;46.197;70.537;43.099;61.976;121.17;60;96.003;100;248.67;141.33;96.957;10.391
01/01/90 16:00;33;9.9998;118.6;4.6865;56.25;65.712;10.946;61.976;121.17;60;16.003;16.997;126.29;85.57;38.975;1.7495
01/01/90 17:00;0;8.2999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 18:00;0;7.6999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 19:00;0;7.1999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 20:00;0;5.4999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 21:00;0;4.9999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 22:00;0;4.4998;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/01/90 23:00;0;3.9997;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 00:00;0;3.6002;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 01:00;0;3.2;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 02:00;0;2.7999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 03:00;0;2.5002;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 04:00;0;2.1999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 05:00;0;2.0001;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 06:00;0;1.6;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 07:00;1.9949;1.0999;0;2.7643;-58.229;33.421;3.0013;61.976;-81.17;-60;1.9949;0;-0.1639;0;-0.2697;0.1058
01/02/90 08:00;122;3.2999;464.04;10.167;-50.586;33.804;11.767;61.976;-81.17;-60;45.002;76.994;471.89;362.44;102.99;6.4676
01/02/90 09:00;267;4.9999;581.24;18.557;-39.227;39.468;24.29;61.976;-81.17;-60;82.002;185;593.12;448.77;130.2;14.155
01/02/90 10:00;350;6.5999;487.46;24.971;-26.025;49.029;39.176;61.976;-81.17;-60;144;206;502.48;319.94;163.98;18.555
01/02/90 11:00;431;8.7999;439.33;28.764;-11.106;60.663;58.154;61.976;-81.17;-60;145;286;460.4;291.19;146.37;22.849
01/02/90 12:00;442.01;8.8998;285.97;29.429;4.7112;73.24;88.704;55.372;-84.557;-52.792;151;291.01;311.98;170.78;122.11;19.084
01/02/90 13:00;364.01;8.7999;170.15;26.865;20.133;83.133;153.1;20.024;-162.9;0.9923;185;179.01;193.4;47.359;143.84;2.2004
01/02/90 14:00;268.01;9.3999;179.63;21.441;34.085;77.671;82.622;61.976;121.17;60;167;101.01;195.43;59.006;122.22;14.208
01/02/90 15:00;205.01;8.7999;222.81;13.778;46.174;70.497;43.448;61.976;121.17;60;126;79.007;238.58;110.75;116.96;10.868
01/02/90 16:00;36;8.2999;106.76;4.829;56.245;65.648;11.274;61.976;121.17;60;22.002;13.998;113.38;68.565;42.905;1.9086
01/02/90 17:00;0;7.1999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 18:00;0;4.9999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 19:00;0;4.3999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 20:00;0;3.8;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 21:00;0;3.2999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 22:00;0;2.7999;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/02/90 23:00;0;2.4003;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/03/90 00:00;0;1.9002;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/03/90 01:00;0;1.6;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/03/90 02:00;0;1.1998;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/03/90 03:00;0;0.9001;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/03/90 04:00;0;0.5998;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/03/90 05:00;0;0.4001;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
01/03/90 06:00;0;-0.0001;0;0;0;90;0;20;-160;0;0;0;0;0;0;0
