PVSYST v6.43
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;USA;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VC4;00/00/00 00h00;20R_4GCR;
Simulation date;;13/06/16 14h35

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;2.7752;-58.087;40.67;3.2683;60;-90;-60;3;0.9976;2.0024;12.128;9.0023;3.0904;0.035;35.053;31.369;3.5343;0.15;0.3476;0.287;0.8904;0.2385;0.9953;1;0.9821;0.9786;12.185;22.869;22.367;0.3875
01/01/90 08:00;10.165;-50.441;41.803;13.092;60;-90;-60;126;43;83.001;311.82;228.83;81.523;1.4707;450.12;350.59;93.234;6.3;0.6961;0.6527;0.8904;0.2385;0.9952;1;0.9821;0.9786;313.34;136.78;121.76;10.223
01/01/90 09:00;18.533;-39.079;47.426;28.003;60;-90;-60;276;71.998;204;533.68;434.23;96.226;3.2216;558.08;434.23;110.05;13.8;0.9595;1;0.8904;0.2385;0.9966;1;0.9821;0.9786;535.5;22.575;0;12.066
01/01/90 10:00;24.922;-25.877;54.682;46.792;43.208;-90;-43.208;399;91.998;307;528.21;419.23;106.35;2.6378;547.87;421.2;115.85;10.818;0.971;1;0.9329;0.2504;0.9929;0.9953;0.984;0.9736;531.99;15.885;0;7.7767
01/01/90 11:00;28.687;-10.97;59.455;70.824;19.176;-90;-19.176;471;107;364.01;495.11;381.75;112.46;0.9033;504.32;385.39;116.32;2.6134;0.993;1;0.9836;0.3851;0.9886;0.9905;0.9829;0.8975;500.81;3.51;0;1.903
01/01/90 12:00;29.326;4.8237;60.315;81.487;8.5133;90;8.5133;486;104;382.01;487.55;382.03;105.11;0.4073;494.56;386.26;107.76;0.5355;0.9989;1;0.9962;0.7769;0.9869;0.989;0.9792;0.979;494.02;0.5333;0;0.4139
01/01/90 13:00;26.742;20.214;56.933;55.561;34.439;90;34.439;438;114;324;516.54;390.14;124.57;1.8357;533.27;392.86;132.73;7.6771;0.9778;1;0.9535;0.2585;0.9907;0.9931;0.9842;0.9249;521.41;11.859;0;6.1666
01/01/90 14:00;21.306;34.134;50.457;34.8;55.2;90;55.2;354;108;246;559.33;430.84;124.95;3.5421;587.01;431.04;140.77;15.197;0.957;1;0.9031;0.2366;0.9957;0.9995;0.9829;0.985;561.76;25.243;0;13.642
01/01/90 15:00;13.637;46.197;43.506;18.581;60;90;60;196.01;96.003;100;382.48;255.6;124.6;2.289;459.92;307.63;142.49;9.8003;0.8367;0.8309;0.8904;0.2387;0.994;1;0.9821;0.9787;384.8;75.121;52.036;15.624
01/01/90 16:00;4.6865;56.25;40.666;5.6308;60;90;60;33;16.003;16.997;115.18;60.195;54.601;0.3854;221.89;157.8;62.444;1.65;0.5236;0.3815;0.8904;0.2387;0.9914;1;0.9821;0.9787;116.19;105.71;97.606;6.8468
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;2.7643;-58.229;40.578;3.2505;60;-90;-60;1.9949;1.9949;0;0;0;0;0;0.0193;0;-0.0804;0.0997;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;10.167;-50.586;41.684;13.069;60;-90;-60;122;45.002;76.994;297.55;212.24;83.888;1.424;427.78;325.75;95.937;6.0998;0.6992;0.6515;0.8904;0.2385;0.9948;1;0.9821;0.9786;299.11;128.67;113.51;10.519
02/01/90 09:00;18.557;-39.227;47.288;27.961;60;-90;-60;267;82.002;185;503.35;394.32;105.91;3.1165;528.8;394.32;121.12;13.35;0.9557;1;0.8904;0.2385;0.996;1;0.9821;0.9786;505.35;23.446;0;13.281
02/01/90 10:00;24.971;-26.025;54.548;46.706;43.294;-90;-43.294;350;144;206;433.58;281.74;149.52;2.3213;455.47;283.03;162.92;9.5253;0.9602;1;0.9327;0.2502;0.9913;0.9955;0.984;0.9738;437.36;18.111;0;10.97
