PVSYST v6.42
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;United States;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VC5;28/03/16 17h53;panel az = 0 tilt = -20;
Simulation date;;28/03/16 17h54

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;GlobHor;T Amb;GlobEff;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;DiffHor;BeamHor;GlobInc;BeamInc;DifSInc;Alb Inc
    ;W/m�;캜;W/m�;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;6.1998;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 01:00;0;6.4001;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 02:00;0;6.4001;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 03:00;0;6.5999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 04:00;0;6.7997;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 05:00;0;7.0001;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 06:00;0;6.9002;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 07:00;3;7.2998;30.137;2.7752;-58.087;48.186;3.7971;61.976;-101.17;-60;0.9976;2.0024;30.957;27.574;3.2233;0.159
01/01/90 08:00;126;7.6999;375.7;10.165;-50.441;50.735;15.815;61.976;-101.17;-60;43;83.001;387.69;297.67;83.346;6.68
01/01/90 09:00;276;8.7;440.04;18.533;-39.079;57.242;35.61;61.976;-101.17;-60;71.998;204;458.67;347.29;96.749;14.632
01/01/90 10:00;399;8.9997;383.19;24.922;-25.877;66.345;61.348;61.976;-101.17;-60;91.998;307;408.85;292.32;95.382;21.153
01/01/90 11:00;471;9.3999;245.07;28.687;-10.97;76.772;102.23;50.005;-107.78;-46.845;107;364.01;277.84;173.52;87.488;16.828
01/01/90 12:00;486;10.5;189.87;29.326;4.8237;79.699;133.68;31.009;127.27;24.203;104;382.01;225.07;139.48;78.653;6.9454
01/01/90 13:00;438;10.5;341.27;26.742;20.214;70.407;72.675;61.976;101.17;60;114;324;369.43;241.45;104.76;23.221
01/01/90 14:00;354;11.1;451.67;21.306;34.134;60.555;44.989;61.976;101.17;60;108;246;473.82;332.83;122.23;18.768
01/01/90 15:00;196.01;11.1;380.34;13.637;46.197;52.903;22.914;61.976;101.17;60;96.003;100;393.91;255.83;127.7;10.391
01/01/90 16:00;33;9.9998;189.38;4.6865;56.25;48.596;6.6039;61.976;101.17;60;16.003;16.997;195.16;137.59;55.819;1.7495
01/01/90 17:00;0;8.2999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 18:00;0;7.6999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 19:00;0;7.1999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 20:00;0;5.4999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 21:00;0;4.9999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 22:00;0;4.4998;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/01/90 23:00;0;3.9997;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 00:00;0;3.6002;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 01:00;0;3.2;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 02:00;0;2.7999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 03:00;0;2.5002;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 04:00;0;2.1999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 05:00;0;2.0001;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 06:00;0;1.6;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 07:00;1.9949;1.0999;0;2.7643;-58.229;48.077;3.7735;61.976;-101.17;-60;1.9949;0;0.1762;0;0.0704;0.1058
01/02/90 08:00;122;3.2999;357.72;10.167;-50.586;50.608;15.772;61.976;-101.17;-60;45.002;76.994;369.16;276.81;85.884;6.4676
01/02/90 09:00;267;4.9999;419.2;18.557;-39.227;57.103;35.516;61.976;-101.17;-60;82.002;185;436.79;315.74;106.9;14.155
01/02/90 10:00;350;6.5999;327.87;24.971;-26.025;66.203;61.168;61.976;-101.17;-60;144;206;347.77;196.89;132.32;18.555
01/02/90 11:00;431;8.7999;242.4;28.764;-11.106;76.63;101.89;50.058;-107.74;-46.905;145;286;269.98;137.43;117.12;15.429
01/02/90 12:00;442.01;8.8998;199.25;29.429;4.7112;79.648;134.4;30.456;128.24;23.459;151;291.01;228.22;106.42;115.7;6.0988
01/02/90 13:00;364.01;8.7999;277.44;26.865;20.133;70.427;72.905;61.976;101.17;60;185;179.01;296.44;132.7;144.44;19.298
01/02/90 14:00;268.01;9.3999;293.86;21.441;34.085;60.549;45.246;61.976;101.17;60;167;101.01;307.23;135.86;157.16;14.208
01/02/90 15:00;205.01;8.7999;350.27;13.778;46.174;52.865;23.146;61.976;101.17;60;126;79.007;362.98;200.27;151.84;10.868
01/02/90 16:00;36;8.2999;166.8;4.829;56.245;48.521;6.8043;61.976;101.17;60;22.002;13.998;172.03;110.14;59.984;1.9086
01/02/90 17:00;0;7.1999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 18:00;0;4.9999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 19:00;0;4.3999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 20:00;0;3.8;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 21:00;0;3.2999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 22:00;0;2.7999;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/02/90 23:00;0;2.4003;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/03/90 00:00;0;1.9002;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/03/90 01:00;0;1.6;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/03/90 02:00;0;1.1998;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/03/90 03:00;0;0.9001;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/03/90 04:00;0;0.5998;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/03/90 05:00;0;0.4001;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
01/03/90 06:00;0;-0.0001;0;0;0;90;0;20;-180;0;0;0;0;0;0;0
