PVSYST v6.43
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;USA;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VCA;13/06/16 14h38;20R_7GCR;
Simulation date;;13/06/16 14h38

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;2.7752;-58.087;40.67;3.2683;60;-90;-60;3;0.9976;2.0024;8.2851;5.5721;2.6937;0.0193;35.053;31.369;3.5343;0.15;0.2379;0.1776;0.7777;0.1322;0.9934;1;0.9801;0.9729;8.3405;26.713;25.797;0.7857
01/01/90 08:00;10.165;-50.441;41.803;13.092;60;-90;-60;126;43;83.001;213.75;141.87;71.061;0.8106;450.12;350.59;93.234;6.3;0.4781;0.4047;0.7777;0.1322;0.9932;1;0.9801;0.9729;215.21;234.91;208.72;20.727
01/01/90 09:00;18.533;-39.079;47.426;28.003;60;-90;-60;276;71.998;204;389.55;303.9;83.876;1.7755;558.08;434.23;110.05;13.8;0.7012;0.6999;0.7777;0.1322;0.9955;1;0.9801;0.9729;391.31;166.77;130.33;24.465
01/01/90 10:00;24.922;-25.877;54.682;46.792;43.208;-90;-43.208;399;91.998;307;516.33;419.23;95.625;1.4737;547.87;421.2;115.85;10.818;0.9492;1;0.8399;0.1407;0.9929;0.9953;0.9828;0.9681;520.02;27.847;0;18.551
01/01/90 11:00;28.687;-10.97;59.455;70.824;19.176;-90;-19.176;471;107;364.01;490.51;381.75;108.19;0.57;504.32;385.39;116.32;2.6134;0.9836;1;0.946;0.2422;0.9888;0.9905;0.9833;0.9005;496.05;8.2641;0;6.2837
01/01/90 12:00;29.326;4.8237;60.315;81.487;8.5133;90;8.5133;486;104;382.01;486.33;382.03;103.92;0.3814;494.56;386.26;107.76;0.5355;0.9964;1;0.9847;0.7222;0.9869;0.989;0.9793;0.9862;492.76;1.7941;0;1.6454
01/01/90 13:00;26.742;20.214;56.933;55.561;34.439;90;34.439;438;114;324;505.71;390.14;114.68;0.8987;533.27;392.86;132.73;7.6771;0.9572;1;0.8783;0.1292;0.9908;0.9931;0.9837;0.9058;510.43;22.835;0;16.15
01/01/90 14:00;21.306;34.134;50.457;34.8;55.2;90;55.2;354;108;246;465.63;353.96;109.71;1.9529;587.01;431.04;140.77;15.197;0.7972;0.8216;0.7944;0.1312;0.995;0.9995;0.981;0.9798;467.95;119.05;76.913;28.937
01/01/90 15:00;13.637;46.197;43.506;18.581;60;90;60;196.01;96.003;100;269.25;159.38;108.61;1.2624;459.92;307.63;142.49;9.8003;0.5903;0.5181;0.7777;0.1324;0.9917;1;0.9801;0.9729;271.49;188.43;148.25;31.677
01/01/90 16:00;4.6865;56.25;40.666;5.6308;60;90;60;33;16.003;16.997;85.001;37.195;47.594;0.2125;221.89;157.8;62.444;1.65;0.3875;0.2357;0.7777;0.1324;0.9887;1;0.9801;0.9729;85.976;135.92;120.61;13.882
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;2.7643;-58.229;40.578;3.2505;60;-90;-60;1.9949;1.9949;0;0;0;0;0;0.0193;0;-0.0804;0.0997;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;10.167;-50.586;41.684;13.069;60;-90;-60;122;45.002;76.994;205.4;131.49;73.121;0.7848;427.78;325.75;95.937;6.0998;0.4837;0.4037;0.7777;0.1322;0.9927;1;0.9801;0.9729;206.91;220.87;194.25;21.328
02/01/90 09:00;18.557;-39.227;47.288;27.961;60;-90;-60;267;82.002;185;369.6;275.56;92.318;1.7176;528.8;394.32;121.12;13.35;0.7026;0.6988;0.7777;0.1322;0.9948;1;0.9801;0.9729;371.52;157.27;118.76;26.928
02/01/90 10:00;24.971;-26.025;54.548;46.706;43.294;-90;-43.294;350;144;206;417.45;281.74;134.42;1.2967;455.47;283.03;162.92;9.5253;0.9246;1;0.8395;0.1406;0.9912;0.9955;0.9827;0.9683;421.14;34.331;0;26.144
