PVSYST v6.43
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;01/06/16 22h04;Hayward;
Geographical Site;New.SIT;01/06/16 22h04;Hayward Air Term;USA;North_America;;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VCB;12/06/16 21h43;20R_7GCR_b;
Simulation date;;12/06/16 21h43

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;2.7752;-58.087;86.174;3.2683;1.2378;-90;-1.2378;3;0.9976;2.0024;0;0;0;0;3.7;2.7595;0.9405;0.0001;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;10.165;-50.441;75.925;13.092;5.0967;-90;-5.0967;126;43;83.001;148.57;100.41;48.109;0.0424;163.96;114.38;49.528;0.0498;0.9978;1;0.993;0.8567;0.9081;0.8779;0.9782;0.9938;163.6;0.3563;0;0.3491
01/01/90 09:00;18.533;-39.079;64.023;28.003;12.314;-90;-12.314;276;71.998;204;356.88;274.01;82.525;0.341;368.26;281.13;86.494;0.635;0.9929;1;0.9729;0.5524;0.9761;0.9747;0.9807;0.9721;365.62;2.632;0;2.3477
01/01/90 10:00;24.922;-25.877;54.682;46.792;43.208;-90;-43.208;399;91.998;307;516.33;419.23;95.625;1.4737;547.87;421.2;115.85;10.818;0.9492;1;0.8399;0.1407;0.9929;0.9953;0.9828;0.9681;520.02;27.847;0;18.551
01/01/90 11:00;28.687;-10.97;59.455;70.824;19.176;-90;-19.176;471;107;364.01;490.51;381.75;108.19;0.57;504.32;385.39;116.32;2.6134;0.9836;1;0.946;0.2422;0.9888;0.9905;0.9833;0.9005;496.05;8.2641;0;6.2837
01/01/90 12:00;29.326;4.8237;60.315;81.487;8.5133;90;8.5133;486;104;382.01;486.33;382.03;103.92;0.3814;494.56;386.26;107.76;0.5355;0.9964;1;0.9847;0.7222;0.9869;0.989;0.9793;0.9862;492.76;1.7941;0;1.6454
01/01/90 13:00;26.742;20.214;56.933;55.561;34.439;90;34.439;438;114;324;505.71;390.14;114.68;0.8987;533.27;392.86;132.73;7.6771;0.9572;1;0.8783;0.1292;0.9908;0.9931;0.9837;0.9058;510.43;22.835;0;16.15
01/01/90 14:00;21.306;34.134;59.953;34.8;17.057;90;17.057;354;108;246;456.07;335.63;119.95;0.4871;468.41;339;127.86;1.5571;0.9855;1;0.9549;0.3346;0.988;0.99;0.9825;0.9349;461.61;6.804;0;5.7678
01/01/90 15:00;13.637;46.197;71.04;18.581;7.4659;90;7.4659;196.01;96.003;100;232.01;128.37;103.51;0.1258;245.04;137.81;107.07;0.1662;0.9944;1;0.9875;0.7659;0.9522;0.9315;0.979;0.9889;243.67;1.3752;0;1.3363
01/01/90 16:00;4.6865;56.25;83.535;5.6308;2.14;90;2.14;33;16.003;16.997;34.502;17.055;17.445;0.0022;41.31;23.423;17.884;0.0023;0.9991;1;0.9979;0.9502;0.836;0.7281;0.9775;0.998;41.272;0.0381;0;0.038
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;2.7643;-58.229;86.189;3.2505;1.231;-90;-1.231;1.9949;1.9949;0;0;0;0;0;2.0327;0;2.0327;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;10.167;-50.586;75.921;13.069;5.0871;-90;-5.0871;122;45.002;76.994;143.36;93.151;50.165;0.0409;157.79;106.1;51.643;0.0481;0.9977;1;0.993;0.857;0.9106;0.8779;0.9782;0.9938;157.42;0.3699;0;0.363
02/01/90 09:00;18.557;-39.227;63.989;27.961;12.289;-90;-12.289;267;82.002;185;341.73;248.53;92.876;0.3292;352.89;254.94;97.335;0.6118;0.9918;1;0.9729;0.5535;0.9764;0.9749;0.9807;0.9722;349.98;2.9066;0;2.6335
02/01/90 10:00;24.971;-26.025;54.548;46.706;43.294;-90;-43.294;350;144;206;417.45;281.74;134.42;1.2967;455.47;283.03;162.92;9.5253;0.9246;1;0.8395;0.1406;0.9912;0.9955;0.9827;0.9683;421.14;34.331;0;26.144
