PVSYST v6.43
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;USA;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VCC;13/06/16 14h39;20R_8GCR;
Simulation date;;13/06/16 14h39

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;2.7752;-58.087;40.67;3.2683;60;-90;-60;3;0.9976;2.0024;7.564;4.9869;2.5605;0.0166;35.053;31.369;3.5343;0.15;0.2173;0.159;0.7398;0.1138;0.9928;1;0.9792;0.971;7.6188;27.435;26.382;0.9195
01/01/90 08:00;10.165;-50.441;41.803;13.092;60;-90;-60;126;43;83.001;194.46;126.22;67.546;0.6959;450.12;350.59;93.234;6.3;0.4353;0.36;0.7398;0.1138;0.9926;1;0.9792;0.971;195.92;254.21;224.37;24.256
01/01/90 09:00;18.533;-39.079;47.426;28.003;60;-90;-60;276;71.998;204;352.16;270.9;79.728;1.5244;558.08;434.23;110.05;13.8;0.6341;0.6239;0.7398;0.1138;0.9951;1;0.9792;0.971;353.89;204.18;163.32;28.63
01/01/90 10:00;24.922;-25.877;54.682;46.792;43.208;-90;-43.208;399;91.998;307;469.86;377.21;91.38;1.2671;547.87;421.2;115.85;10.818;0.864;0.8998;0.8031;0.1212;0.9927;0.9953;0.9822;0.9663;473.33;74.538;42.217;22.814
01/01/90 11:00;28.687;-10.97;59.455;70.824;19.176;-90;-19.176;471;107;364.01;487.82;381.75;105.56;0.5131;504.32;385.39;116.32;2.6134;0.9782;1;0.923;0.2177;0.9888;0.9905;0.9832;0.9018;493.32;11;0;8.956
01/01/90 12:00;29.326;4.8237;60.315;81.487;8.5133;90;8.5133;486;104;382.01;485.49;382.03;103.08;0.3769;494.56;386.26;107.76;0.5355;0.9946;1;0.9768;0.7127;0.987;0.989;0.9793;0.9876;491.91;2.6517;0;2.4979
01/01/90 13:00;26.742;20.214;56.933;55.561;34.439;90;34.439;438;114;324;501.12;390.14;110.24;0.7379;533.27;392.86;132.73;7.6771;0.9485;1;0.8447;0.107;0.9907;0.9931;0.9833;0.8985;505.8;27.468;0;20.613
01/01/90 14:00;21.306;34.134;50.457;34.8;55.2;90;55.2;354;108;246;421.84;315.81;104.35;1.6763;587.01;431.04;140.77;15.197;0.7225;0.733;0.7562;0.1128;0.9946;0.9995;0.9803;0.978;424.12;162.88;115.08;34.316
01/01/90 15:00;13.637;46.197;43.506;18.581;60;90;60;196.01;96.003;100;246.17;141.85;103.23;1.0822;459.92;307.63;142.49;9.8003;0.5401;0.4611;0.7399;0.1137;0.9911;1;0.9792;0.971;248.39;211.53;165.78;37.069
01/01/90 16:00;4.6865;56.25;40.666;5.6308;60;90;60;33;16.003;16.997;78.617;33.194;45.24;0.1822;221.89;157.8;62.444;1.65;0.3586;0.2104;0.7399;0.1137;0.9879;1;0.9792;0.971;79.581;142.31;124.61;16.244
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;2.7643;-58.229;40.578;3.2505;60;-90;-60;1.9949;1.9949;0;0;0;0;0;0.0193;0;-0.0804;0.0997;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;10.167;-50.586;41.684;13.069;60;-90;-60;122;45.002;76.994;187.25;117.08;69.504;0.6738;427.78;325.75;95.937;6.0998;0.4412;0.3594;0.7398;0.1138;0.9921;1;0.9792;0.971;188.75;239.03;208.67;24.959
02/01/90 09:00;18.557;-39.227;47.288;27.961;60;-90;-60;267;82.002;185;334.92;245.69;87.752;1.4747;528.8;394.32;121.12;13.35;0.637;0.6231;0.7398;0.1138;0.9943;1;0.9792;0.971;336.83;191.97;148.63;31.512
02/01/90 10:00;24.971;-26.025;54.548;46.706;43.294;-90;-43.294;350;144;206;382.71;253.15;128.45;1.1149;455.47;283.03;162.92;9.5253;0.848;0.8985;0.8027;0.1211;0.9909;0.9955;0.9822;0.9665;386.24;69.236;28.721;32.143
