PVSYST v6.43
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;USA;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VCH;00/00/00 00h00;bays_40GCR_b;
Simulation date;;27/07/16 13h44

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;2.7752;-58.087;83.147;3.2683;4.8093;-90;-4.8093;3;0.9976;2.0024;0;0;0;0;6.0853;4.9353;1.1489;0.0011;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;10.165;-50.441;64.217;13.092;20.845;-90;-20.845;126;43;83.001;264.97;199.21;65.459;0.3028;273.1;204.57;67.707;0.8247;0.994;1;0.9831;0.4077;0.9761;0.9738;0.9834;0.9005;271.47;1.6328;0;1.1443
01/01/90 09:00;18.533;-39.079;47.426;28.003;60;-90;-60;276;71.998;204;535.27;434.23;97.325;3.7175;558.08;434.23;110.05;13.8;0.9623;1;0.9001;0.2722;0.9967;1;0.9826;0.9897;537.04;21.039;0;10.995
01/01/90 10:00;24.922;-25.877;54.682;46.792;43.208;-90;-43.208;399;91.998;307;529.43;419.23;107.01;3.1862;547.87;421.2;115.85;10.818;0.9731;1;0.9384;0.2973;0.9931;0.9953;0.9844;0.9906;533.13;14.741;0;7.1394
01/01/90 11:00;28.687;-10.97;59.455;70.824;19.176;-90;-19.176;471;107;364.01;495.49;381.75;112.69;1.0588;504.32;385.39;116.32;2.6134;0.9938;1;0.9856;0.4452;0.9886;0.9905;0.983;0.91;501.19;3.1288;0;1.6789
01/01/90 12:00;29.326;4.8237;60.315;81.487;8.5133;90;8.5133;486;104;382.01;487.6;382.03;105.16;0.4134;494.56;386.26;107.76;0.5355;0.999;1;0.9966;0.7878;0.9869;0.989;0.9792;0.98;494.07;0.4845;0;0.3708
01/01/90 13:00;26.742;20.214;56.933;55.561;34.439;90;34.439;438;114;324;516.95;390.14;124.91;1.9023;533.27;392.86;132.73;7.6771;0.9784;1;0.9559;0.2639;0.9908;0.9931;0.9845;0.9389;521.76;11.506;0;5.8546
01/01/90 14:00;21.306;34.134;50.457;34.8;55.2;90;55.2;354;108;246;559.68;430.84;125.65;3.1862;587.01;431.04;140.77;15.197;0.9575;1;0.9078;0.2102;0.9958;0.9995;0.9832;0.9973;562.03;24.974;0;12.972
01/01/90 15:00;13.637;46.197;54.471;18.581;33.171;90;33.171;196.01;96.003;100;373.36;245.37;127.19;0.7978;384.44;246.47;134.77;3.1941;0.9794;1;0.9587;0.2684;0.9916;0.9955;0.9845;0.9305;376.53;7.9052;0;5.5685
01/01/90 16:00;4.6865;56.25;78.383;5.6308;8.3635;90;8.3635;33;16.003;16.997;58.936;35.213;23.696;0.0273;66.209;41.893;24.281;0.0351;0.9987;1;0.9967;0.7926;0.8913;0.8406;0.9792;0.9806;66.121;0.0882;0;0.081
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;2.7643;-58.229;83.173;3.2505;4.7829;-90;-4.7829;1.9949;1.9949;0;0;0;0;0;1.9115;0;1.9108;0.0007;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;10.167;-50.586;64.211;13.069;20.801;-90;-20.801;122;45.002;76.994;252.87;184.79;67.786;0.2924;260.67;189.76;70.11;0.7951;0.9937;1;0.9832;0.4083;0.9763;0.9738;0.9834;0.9005;259.02;1.6506;0;1.1801
02/01/90 09:00;18.557;-39.227;47.288;27.961;60;-90;-60;267;82.002;185;505.04;394.32;107.12;3.5963;528.8;394.32;121.12;13.35;0.9587;1;0.9001;0.2722;0.9962;1;0.9826;0.9897;506.98;21.818;0;12.102
02/01/90 10:00;24.971;-26.025;54.548;46.706;43.294;-90;-43.294;350;144;206;435;281.74;150.46;2.8036;455.47;283.03;162.92;9.5253;0.9632;1;0.9382;0.2971;0.9916;0.9955;0.9844;0.9908;438.71;16.766;0;10.07
