PVSYST v6.43
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;USA;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VCI;00/00/00 00h00;bays_60GCR_b;
Simulation date;;27/07/16 13h47

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;2.7752;-58.087;85.442;3.2683;2.1013;-90;-2.1013;3;0.9976;2.0024;0;0;0;0;4.2781;3.2868;0.9911;0.0002;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;10.165;-50.441;73.161;13.092;8.7349;-90;-8.7349;126;43;83.001;176.73;124.15;52.47;0.107;190.4;136.24;54.019;0.1461;0.9975;1;0.9917;0.7442;0.9305;0.9113;0.9794;0.984;189.92;0.4832;0;0.4458
01/01/90 09:00;18.533;-39.079;58.553;28.003;22.412;-90;-22.412;276;71.998;204;423.39;331.99;90.891;0.5064;433.09;334.85;96.151;2.0847;0.9878;1;0.9608;0.2706;0.9897;0.9914;0.9839;0.8977;427.79;5.2942;0;3.7735
01/01/90 10:00;24.922;-25.877;54.682;46.792;43.208;-90;-43.208;399;91.998;307;523.23;419.23;101.75;2.2514;547.87;421.2;115.85;10.818;0.9617;1;0.8927;0.2106;0.993;0.9953;0.9839;0.988;526.9;20.973;0;12.434
01/01/90 11:00;28.687;-10.97;59.455;70.824;19.176;-90;-19.176;471;107;364.01;493.44;381.75;110.9;0.7937;504.32;385.39;116.32;2.6134;0.9895;1;0.9696;0.3321;0.9888;0.9905;0.9833;0.9145;499.04;5.2765;0;3.531
01/01/90 12:00;29.326;4.8237;60.315;81.487;8.5133;90;8.5133;486;104;382.01;487.18;382.03;104.74;0.4121;494.56;386.26;107.76;0.5355;0.9981;1;0.9925;0.7842;0.9869;0.989;0.9793;0.9815;493.64;0.9197;0;0.8041
01/01/90 13:00;26.742;20.214;56.933;55.561;34.439;90;34.439;438;114;324;513.24;390.14;121.01;2.0969;533.27;392.86;132.73;7.6771;0.9714;1;0.9262;0.2881;0.9908;0.9931;0.9843;0.9482;518.01;15.262;0;9.796
01/01/90 14:00;21.306;34.134;53.387;34.8;34.717;90;34.717;354;108;246;531.34;402.42;127.19;1.7246;549.74;403.79;139.65;6.3022;0.9729;1;0.9253;0.2881;0.9935;0.9966;0.9843;0.9499;534.82;14.919;0;10.432
01/01/90 15:00;13.637;46.197;67.232;18.581;12.954;90;12.954;196.01;96.003;100;268.18;157.33;110.55;0.2999;279.07;164.15;114.42;0.4989;0.9932;1;0.9849;0.6245;0.9676;0.9584;0.9809;0.9625;277.16;1.9106;0;1.7233
01/01/90 16:00;4.6865;56.25;82.293;5.6308;3.6372;90;3.6372;33;16.003;16.997;40.238;21.26;18.972;0.0061;47.346;27.9;19.44;0.0066;0.9992;1;0.9981;0.9288;0.8506;0.762;0.9778;0.9942;47.309;0.038;0;0.0375
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;2.7643;-58.229;85.46;3.2505;2.0898;-90;-2.0898;1.9949;1.9949;0;0;0;0;0;2.0037;0;2.0035;0.0001;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;10.167;-50.586;73.157;13.069;8.7181;-90;-8.7181;122;45.002;76.994;169.87;115.17;54.599;0.1033;182.73;126.38;56.21;0.141;0.9973;1;0.9918;0.7448;0.9322;0.9113;0.9794;0.9841;182.23;0.4984;0;0.4624
02/01/90 09:00;18.557;-39.227;58.509;27.961;22.357;-90;-22.357;267;82.002;185;403.15;301.08;101.59;0.4887;413.12;303.66;107.45;2.0071;0.9863;1;0.9609;0.2712;0.9894;0.9915;0.9839;0.8978;407.45;5.663;0;4.2002
02/01/90 10:00;24.971;-26.025;54.548;46.706;43.294;-90;-43.294;350;144;206;426.76;281.74;143.04;1.9809;455.47;283.03;162.92;9.5253;0.945;1;0.8924;0.2104;0.9915;0.9955;0.9838;0.9882;430.42;25.052;0;17.531
