PVSYST v6.43
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;USA;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VCJ;00/00/00 00h00;bays_35GCR;
Simulation date;;27/07/16 13h50

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;2.7752;-58.087;40.67;3.2683;60;-90;-60;3;0.9976;2.0024;16.421;13.223;3.1668;0.0312;35.053;31.369;3.5343;0.15;0.4701;0.4215;0.9118;0.2111;0.9966;1;0.9827;0.9857;16.477;18.577;18.146;0.3118
01/01/90 08:00;10.165;-50.441;41.803;13.092;60;-90;-60;126;43;83.001;357.93;273.08;83.54;1.311;450.12;350.59;93.234;6.3;0.7985;0.7789;0.9118;0.2111;0.9959;1;0.9827;0.9857;359.42;90.704;77.508;8.2262
01/01/90 09:00;18.533;-39.079;47.426;28.003;60;-90;-60;276;71.998;204;535.71;434.23;98.607;2.8717;558.08;434.23;110.05;13.8;0.9631;1;0.9118;0.2111;0.9967;1;0.9827;0.9857;537.48;20.596;0;9.7098
01/01/90 10:00;24.922;-25.877;54.682;46.792;43.208;-90;-43.208;399;91.998;307;529.72;419.23;107.86;2.6361;547.87;421.2;115.85;10.818;0.9737;1;0.9457;0.2469;0.993;0.9953;0.9844;0.9869;533.44;14.433;0;6.2866
01/01/90 11:00;28.687;-10.97;59.455;70.824;19.176;-90;-19.176;471;107;364.01;495.75;381.75;112.95;1.0553;504.32;385.39;116.32;2.6134;0.9943;1;0.9879;0.4448;0.9886;0.9905;0.983;0.9078;501.46;2.8608;0;1.4099
01/01/90 12:00;29.326;4.8237;60.315;81.487;8.5133;90;8.5133;486;104;382.01;487.72;382.03;105.27;0.4296;494.56;386.26;107.76;0.5355;0.9993;1;0.9976;0.8209;0.9869;0.989;0.9792;0.9773;494.21;0.3522;0;0.2563
01/01/90 13:00;26.742;20.214;56.933;55.561;34.439;90;34.439;438;114;324;518.91;390.14;126.14;2.6262;533.27;392.86;132.73;7.6771;0.9822;1;0.9653;0.3606;0.9907;0.9931;0.9845;0.9486;523.75;9.5154;0;4.6068
01/01/90 14:00;21.306;34.134;50.457;34.8;55.2;90;55.2;354;108;246;563.94;430.84;128.34;4.7518;587.01;431.04;140.77;15.197;0.9647;1;0.927;0.3131;0.9958;0.9995;0.9835;0.9986;566.29;20.716;0;10.277
01/01/90 15:00;13.637;46.197;43.506;18.581;60;90;60;196.01;96.003;100;423.5;291.98;128.5;3.0169;459.92;307.63;142.49;9.8003;0.9257;0.9491;0.9176;0.3109;0.9947;1;0.9829;0.9903;425.77;34.156;15.656;11.746
01/01/90 16:00;4.6865;56.25;40.666;5.6308;60;90;60;33;16.003;16.997;138.27;81.449;56.314;0.5079;221.89;157.8;62.444;1.65;0.6276;0.5161;0.9176;0.3109;0.9929;1;0.9829;0.9903;139.26;82.636;76.352;5.1472
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;2.7643;-58.229;40.578;3.2505;60;-90;-60;1.9949;1.9949;0;0;0;0;0;0.0193;0;-0.0804;0.0997;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;10.167;-50.586;41.684;13.069;60;-90;-60;122;45.002;76.994;340.71;253.47;85.963;1.2693;427.78;325.75;95.937;6.0998;0.8;0.7781;0.9118;0.2111;0.9955;1;0.9827;0.9857;342.23;85.548;72.271;8.4648
02/01/90 09:00;18.557;-39.227;47.288;27.961;60;-90;-60;267;82.002;185;505.63;394.32;108.53;2.7781;528.8;394.32;121.12;13.35;0.9599;1;0.9118;0.2111;0.9962;1;0.9827;0.9857;507.58;21.219;0;10.687
02/01/90 10:00;24.971;-26.025;54.548;46.706;43.294;-90;-43.294;350;144;206;435.71;281.74;151.65;2.3182;455.47;283.03;162.92;9.5253;0.9648;1;0.9456;0.2465;0.9915;0.9955;0.9844;0.9871;439.43;16.045;0;8.8677
