PVSYST v6.43
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;USA;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VCK;00/00/00 00h00;bays_20GCR;
Simulation date;;27/07/16 13h56

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;2.7752;-58.087;40.67;3.2683;60;-90;-60;3;0.9976;2.0024;20.271;16.882;3.3322;0.0565;35.053;31.369;3.5343;0.15;0.5799;0.5382;0.959;0.3831;0.9971;1;0.9832;0.9833;20.329;14.725;14.487;0.145
01/01/90 08:00;10.165;-50.441;41.803;13.092;60;-90;-60;126;43;83.001;440.87;350.59;87.903;2.373;450.12;350.59;93.234;6.3;0.9829;1;0.959;0.3831;0.9965;1;0.9832;0.9833;442.41;7.713;0;3.8263
01/01/90 09:00;18.533;-39.079;47.426;28.003;60;-90;-60;276;71.998;204;543.18;434.23;103.76;5.1979;558.08;434.23;110.05;13.8;0.9767;1;0.959;0.3831;0.9966;1;0.9832;0.9833;545.05;13.03;0;4.5163
01/01/90 10:00;24.922;-25.877;54.682;46.792;43.208;-90;-43.208;399;91.998;307;534.87;419.23;111.15;4.4973;547.87;421.2;115.85;10.818;0.9832;1;0.9744;0.4223;0.993;0.9953;0.9845;0.9845;538.66;9.2112;0;2.9614
01/01/90 11:00;28.687;-10.97;59.455;70.824;19.176;-90;-19.176;471;107;364.01;496.88;381.75;113.53;1.5982;504.32;385.39;116.32;2.6134;0.9968;1;0.9934;0.6767;0.9884;0.9905;0.9826;0.9037;502.71;1.6107;0;0.7658
01/01/90 12:00;29.326;4.8237;60.315;81.487;8.5133;90;8.5133;486;104;382.01;487.82;382.03;105.34;0.4629;494.56;386.26;107.76;0.5355;0.9995;1;0.9985;0.8913;0.9868;0.989;0.979;0.9698;494.33;0.2252;0;0.167
01/01/90 13:00;26.742;20.214;56.933;55.561;34.439;90;34.439;438;114;324;521.42;390.14;128.11;3.172;533.27;392.86;132.73;7.6771;0.9871;1;0.9805;0.4417;0.9905;0.9931;0.9844;0.9354;526.4;6.8714;0;2.5853
01/01/90 14:00;21.306;34.134;50.457;34.8;55.2;90;55.2;354;108;246;568.44;430.84;132.92;4.6757;587.01;431.04;140.77;15.197;0.9725;1;0.9599;0.3104;0.9957;0.9995;0.9837;0.9913;570.88;16.126;0;5.6464
01/01/90 15:00;13.637;46.197;43.506;18.581;60;90;60;196.01;96.003;100;444.38;307.63;133.76;2.9945;459.92;307.63;142.49;9.8003;0.9713;1;0.9548;0.312;0.9947;1;0.9831;0.9795;446.75;13.179;0;6.436
01/01/90 16:00;4.6865;56.25;40.666;5.6308;60;90;60;33;16.003;16.997;168.54;109.42;58.616;0.5042;221.89;157.8;62.444;1.65;0.7641;0.6934;0.9548;0.312;0.994;1;0.9831;0.9795;169.56;52.339;48.383;2.8204
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;2.7643;-58.229;40.578;3.2505;60;-90;-60;1.9949;1.9949;0;0;0;0;0;0.0193;0;-0.0804;0.0997;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;10.167;-50.586;41.684;13.069;60;-90;-60;122;45.002;76.994;418.49;325.75;90.452;2.2975;427.78;325.75;95.937;6.0998;0.982;1;0.959;0.3831;0.9962;1;0.9832;0.9833;420.08;7.7004;0;3.9372
02/01/90 09:00;18.557;-39.227;47.288;27.961;60;-90;-60;267;82.002;185;513.55;394.32;114.2;5.0284;528.8;394.32;121.12;13.35;0.975;1;0.959;0.3831;0.996;1;0.9832;0.9833;515.59;13.207;0;4.9709
02/01/90 10:00;24.971;-26.025;54.548;46.706;43.294;-90;-43.294;350;144;206;441.98;281.74;156.29;3.9563;455.47;283.03;162.92;9.5253;0.9787;1;0.9744;0.4218;0.9915;0.9955;0.9845;0.9848;445.79;9.6845;0;4.1767
02/01/90 11:00;28.764;-11.106;59.338;70.664;19.336;-90;-19.336;431;145;286;452.74;300.26;151;1.4776;460.23;303.09;154.71;2.4311;0.996;1;0.9933;0.6734;0.9876;0.9907;0.9826;0.9026;458.4;1.8276;0;1.0335
