PVSYST v6.43
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;USA;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VCL;00/00/00 00h00;bays_40GCR;
Simulation date;;27/07/16 14h00

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;2.7752;-58.087;40.67;3.2683;60;-90;-60;3;0.9976;2.0024;15.791;12.625;3.1257;0.0404;35.053;31.369;3.5343;0.15;0.4521;0.4025;0.9001;0.2722;0.9965;1;0.9826;0.9897;15.847;19.207;18.745;0.3531
01/01/90 08:00;10.165;-50.441;41.803;13.092;60;-90;-60;126;43;83.001;335.92;251.77;82.455;1.6971;450.12;350.59;93.234;6.3;0.7496;0.7181;0.9001;0.2722;0.9956;1;0.9826;0.9897;337.4;112.72;98.82;9.3152
01/01/90 09:00;18.533;-39.079;47.426;28.003;60;-90;-60;276;71.998;204;535.27;434.23;97.325;3.7175;558.08;434.23;110.05;13.8;0.9623;1;0.9001;0.2722;0.9967;1;0.9826;0.9897;537.04;21.039;0;10.995
01/01/90 10:00;24.922;-25.877;54.682;46.792;43.208;-90;-43.208;399;91.998;307;529.43;419.23;107.01;3.1862;547.87;421.2;115.85;10.818;0.9731;1;0.9384;0.2973;0.9931;0.9953;0.9844;0.9906;533.13;14.741;0;7.1394
01/01/90 11:00;28.687;-10.97;59.455;70.824;19.176;-90;-19.176;471;107;364.01;495.49;381.75;112.69;1.0588;504.32;385.39;116.32;2.6134;0.9938;1;0.9856;0.4452;0.9886;0.9905;0.983;0.91;501.19;3.1288;0;1.6789
01/01/90 12:00;29.326;4.8237;60.315;81.487;8.5133;90;8.5133;486;104;382.01;487.6;382.03;105.16;0.4134;494.56;386.26;107.76;0.5355;0.999;1;0.9966;0.7878;0.9869;0.989;0.9792;0.98;494.07;0.4845;0;0.3708
01/01/90 13:00;26.742;20.214;56.933;55.561;34.439;90;34.439;438;114;324;516.95;390.14;124.91;1.9023;533.27;392.86;132.73;7.6771;0.9784;1;0.9559;0.2639;0.9908;0.9931;0.9845;0.9389;521.76;11.506;0;5.8546
01/01/90 14:00;21.306;34.134;50.457;34.8;55.2;90;55.2;354;108;246;559.68;430.84;125.65;3.1862;587.01;431.04;140.77;15.197;0.9575;1;0.9078;0.2102;0.9958;0.9995;0.9832;0.9973;562.03;24.974;0;12.972
01/01/90 15:00;13.637;46.197;43.506;18.581;60;90;60;196.01;96.003;100;394.5;267.07;125.42;2.0097;459.92;307.63;142.49;9.8003;0.8627;0.8682;0.8959;0.2079;0.9943;1;0.9825;0.9866;396.77;63.158;40.56;14.835
01/01/90 16:00;4.6865;56.25;40.666;5.6308;60;90;60;33;16.003;16.997;131.73;76.425;54.963;0.3384;221.89;157.8;62.444;1.65;0.5981;0.4843;0.8959;0.2079;0.9926;1;0.9825;0.9866;132.71;89.183;81.375;6.5009
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;2.7643;-58.229;40.578;3.2505;60;-90;-60;1.9949;1.9949;0;0;0;0;0;0.0193;0;-0.0804;0.0997;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;10.167;-50.586;41.684;13.069;60;-90;-60;122;45.002;76.994;320.2;233.71;84.846;1.6432;427.78;325.75;95.937;6.0998;0.7521;0.7175;0.9001;0.2722;0.9953;1;0.9826;0.9897;321.72;106.06;92.034;9.5853
02/01/90 09:00;18.557;-39.227;47.288;27.961;60;-90;-60;267;82.002;185;505.04;394.32;107.12;3.5963;528.8;394.32;121.12;13.35;0.9587;1;0.9001;0.2722;0.9962;1;0.9826;0.9897;506.98;21.818;0;12.102
02/01/90 10:00;24.971;-26.025;54.548;46.706;43.294;-90;-43.294;350;144;206;435;281.74;150.46;2.8036;455.47;283.03;162.92;9.5253;0.9632;1;0.9382;0.2971;0.9916;0.9955;0.9844;0.9908;438.71;16.766;0;10.07
