PVSYST v6.43
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;USA;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VCM;00/00/00 00h00;bays_60GCR;
Simulation date;;27/07/16 14h08

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;2.7752;-58.087;40.67;3.2683;60;-90;-60;3;0.9976;2.0024;14.079;11.142;2.908;0.0283;35.053;31.369;3.5343;0.15;0.4032;0.3552;0.8382;0.1914;0.9961;1;0.9816;0.9869;14.134;20.92;20.227;0.5718
01/01/90 08:00;10.165;-50.441;41.803;13.092;60;-90;-60;126;43;83.001;277.71;199.8;76.712;1.1901;450.12;350.59;93.234;6.3;0.6202;0.5699;0.8382;0.1914;0.9948;1;0.9816;0.9869;279.16;170.96;150.79;15.083
01/01/90 09:00;18.533;-39.079;47.426;28.003;60;-90;-60;276;71.998;204;460.21;367.05;90.547;2.6068;558.08;434.23;110.05;13.8;0.8277;0.8453;0.8382;0.1914;0.9963;1;0.9816;0.9869;461.94;96.137;67.174;17.804
01/01/90 10:00;24.922;-25.877;54.682;46.792;43.208;-90;-43.208;399;91.998;307;523.23;419.23;101.75;2.2514;547.87;421.2;115.85;10.818;0.9617;1;0.8927;0.2106;0.993;0.9953;0.9839;0.988;526.9;20.973;0;12.434
01/01/90 11:00;28.687;-10.97;59.455;70.824;19.176;-90;-19.176;471;107;364.01;493.44;381.75;110.9;0.7937;504.32;385.39;116.32;2.6134;0.9895;1;0.9696;0.3321;0.9888;0.9905;0.9833;0.9145;499.04;5.2765;0;3.531
01/01/90 12:00;29.326;4.8237;60.315;81.487;8.5133;90;8.5133;486;104;382.01;487.18;382.03;104.74;0.4121;494.56;386.26;107.76;0.5355;0.9981;1;0.9925;0.7842;0.9869;0.989;0.9793;0.9815;493.64;0.9197;0;0.8041
01/01/90 13:00;26.742;20.214;56.933;55.561;34.439;90;34.439;438;114;324;513.24;390.14;121.01;2.0969;533.27;392.86;132.73;7.6771;0.9714;1;0.9262;0.2881;0.9908;0.9931;0.9843;0.9482;518.01;15.262;0;9.796
01/01/90 14:00;21.306;34.134;50.457;34.8;55.2;90;55.2;354;108;246;536.57;413.41;119.14;4.0191;587.01;431.04;140.77;15.197;0.918;0.9595;0.8614;0.2655;0.9957;0.9995;0.9826;0.9961;538.89;48.114;17.439;19.513
01/01/90 15:00;13.637;46.197;43.506;18.581;60;90;60;196.01;96.003;100;330.03;209.06;118.43;2.5388;459.92;307.63;142.49;9.8003;0.7224;0.6796;0.8466;0.2619;0.9933;1;0.9817;0.9891;332.26;127.66;98.57;21.858
01/01/90 16:00;4.6865;56.25;40.666;5.6308;60;90;60;33;16.003;16.997;117.07;64.744;51.9;0.4274;221.89;157.8;62.444;1.65;0.532;0.4103;0.8466;0.2619;0.9918;1;0.9817;0.9891;118.04;103.85;93.057;9.5785
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;2.7643;-58.229;40.578;3.2505;60;-90;-60;1.9949;1.9949;0;0;0;0;0;0.0193;0;-0.0804;0.0997;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;10.167;-50.586;41.684;13.069;60;-90;-60;122;45.002;76.994;265.57;185.48;78.937;1.1523;427.78;325.75;95.937;6.0998;0.6243;0.5694;0.8382;0.1914;0.9944;1;0.9816;0.9869;267.07;160.71;140.26;15.521
02/01/90 09:00;18.557;-39.227;47.288;27.961;60;-90;-60;267;82.002;185;435.2;333.02;99.661;2.5218;528.8;394.32;121.12;13.35;0.8266;0.8445;0.8382;0.1914;0.9956;1;0.9816;0.9869;437.11;91.689;61.299;19.596
02/01/90 10:00;24.971;-26.025;54.548;46.706;43.294;-90;-43.294;350;144;206;426.76;281.74;143.04;1.9809;455.47;283.03;162.92;9.5253;0.945;1;0.8924;0.2104;0.9915;0.9955;0.9838;0.9882;430.42;25.052;0;17.531
