PVSYST v6.43
;File;File date;Description
Project;Hayward Air Term_Project.PRJ;00/00/00 00h00;Hayward;
Geographical Site;New.SIT;00/00/00 00h00;Hayward Air Term;USA;North_America;
Meteo data;Hayward Air Term_NREL_TMY.MET;00/00/00 00h00;Hayward Air Term;NREL NSRD : TMY3;TMY;
Simulation variant;Hayward Air Term_Project.VCN;00/00/00 00h00;bays_35GCR_flat;
Simulation date;;27/07/16 14h18

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;2.7752;-58.087;87.225;5.2392;3;0.9976;2.0024;0;0;0;0;3;2.0024;0.9976;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;10.165;-50.441;79.835;15.723;126;43;83.001;109.63;67.613;42.014;0;126;83.001;43;0;1;1;1;1;0.8701;0.8146;0.9771;1;126;0;0;0
01/01/90 09:00;18.533;-39.079;71.467;23.357;276;71.998;204;259.62;189.27;70.348;0;276;204;71.998;0;1;1;1;1;0.9406;0.9278;0.9771;1;276;0;0;0
01/01/90 10:00;24.922;-25.877;65.078;27.313;399;91.998;307;387.57;297.68;89.889;0;399;307;91.998;0;1;1;1;1;0.9713;0.9696;0.9771;1;399;0;0;0
01/01/90 11:00;28.687;-10.97;61.313;29.134;471;107;364.01;463.35;358.81;104.54;0;471;364.01;107;0;1;1;1;1;0.9838;0.9857;0.9771;1;471;0;0;0
01/01/90 12:00;29.326;4.8237;60.674;29.413;486;104;382.01;478.99;377.38;101.61;0;486;382.01;104;0;1;1;1;1;0.9856;0.9879;0.9771;1;486;0;0;0
01/01/90 13:00;26.742;20.214;63.258;28.233;438;114;324;428.29;316.91;111.39;0;438;324;114;0;1;1;1;1;0.9778;0.9781;0.9771;1;438;0;0;0
01/01/90 14:00;21.306;34.134;68.694;25.229;354;108;246;339.07;233.54;105.53;0;354;246;108;0;1;1;1;1;0.9578;0.9494;0.9771;1;354;0;0;0
01/01/90 15:00;13.637;46.197;76.363;19.316;196.01;96.003;100;180.99;87.185;93.802;0;196.01;100;96.003;0;1;1;1;1;0.9234;0.8718;0.9771;1;196.01;0;0;0
01/01/90 16:00;4.6865;56.25;85.314;8.3938;33;16.003;16.997;27.188;11.552;15.636;0;33;16.997;16.003;0;1;1;1;1;0.8239;0.6796;0.9771;1;33;0;0;0
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;2.7643;-58.229;87.236;5.2396;1.9949;1.9949;0;0;0;0;0;1.9949;0;1.9949;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;10.167;-50.586;79.833;15.772;122;45.002;76.994;106.69;62.723;43.97;0;122;76.994;45.002;0;1;1;1;1;0.8746;0.8147;0.9771;1;122;0;0;0
02/01/90 09:00;18.557;-39.227;71.443;23.43;267;82.002;185;251.8;171.68;80.122;0;267;185;82.002;0;1;1;1;1;0.9431;0.928;0.9771;1;267;0;0;0
02/01/90 10:00;24.971;-26.025;65.029;27.395;350;144;206;340.49;199.79;140.7;0;350;206;144;0;1;1;1;1;0.9728;0.9699;0.9771;1;350;0;0;0
02/01/90 11:00;28.764;-11.106;61.236;29.224;431;145;286;423.67;281.99;141.68;0;431;286;145;0;1;1;1;1;0.983;0.986;0.9771;1;431;0;0;0
02/01/90 12:00;29.429;4.7112;60.571;29.512;442.01;151;291.01;435.12;287.58;147.54;0;442.01;291.01;151;0;1;1;1;1;0.9844;0.9882;0.9771;1;442.01;0;0;0
02/01/90 13:00;26.865;20.133;63.135;28.349;364.01;185;179.01;355.94;175.18;180.76;0;364.01;179.01;185;0;1;1;1;1;0.9778;0.9786;0.9771;1;364.01;0;0;0
02/01/90 14:00;21.441;34.085;68.559;25.369;268.01;167;101.01;259.15;95.985;163.17;0;268.01;101.01;167;0;1;1;1;1;0.967;0.9503;0.9771;1;268.01;0;0;0
02/01/90 15:00;13.778;46.174;76.222;19.5;205.01;126;79.007;192.15;69.036;123.11;0;205.01;79.007;126;0;1;1;1;1;0.9373;0.8738;0.9771;1;205.01;0;0;0
02/01/90 16:00;4.829;56.245;85.171;8.6453;36;22.002;13.998;31.066;9.568;21.498;0;36;13.998;22.002;0;1;1;1;1;0.8629;0.6835;0.9771;1;36;0;0;0
02/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
