PVSYST v6.42
;File;File date;Description
Project;Reno_Project.PRJ;11/03/16 16h52;Reno;
Geographical Site;Reno_MN71.SIT;11/03/16 16h52;Reno;United States;North_America;;
Meteo data;Reno_MN71_Synthetic.MET;00/00/00 00h00;Reno;MeteoNorm 7.1;Synthetic;
Simulation variant;Reno_Project.VC0;00/00/00 00h00;single axis no backtrack;
Simulation date;;11/03/16 16h53

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;GlobHor;T Amb;GlobEff;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;DiffHor;BeamHor;GlobInc;BeamInc;DifSInc;Alb Inc
    ;W/m�;캜;W/m�;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;1.5202;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 01:00;0;1.4401;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 02:00;0;1.36;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 03:00;0;1.3997;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 04:00;0;1.4401;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 05:00;0;1.5099;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 06:00;0;1.59;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 07:00;6.8;2.0501;0;3.0033;-56.822;41.406;3.5868;60;-90;-60;6.7984;0.0015;1.4051;0.0222;1.0429;0.34
01/01/90 08:00;155.3;5.5598;416.81;10.366;-48.514;43.27;13.723;60;-90;-60;87.902;67.401;428.97;272.74;148.47;7.7651
01/01/90 09:00;306.61;9.1203;603.71;18.213;-36.766;49.559;28.799;60;-90;-60;50.802;255.81;621.68;530.89;75.459;15.33
01/01/90 10:00;422.59;12.29;547.74;24.019;-23.314;57.017;48.391;41.609;-90;-41.609;56.599;366;571.62;489.5;71.463;10.662
01/01/90 11:00;488.2;14.84;484.79;27.19;-8.3904;61.639;74.143;15.857;-90;-15.857;60.297;427.9;512.5;444.83;65.818;1.8577
01/01/90 12:00;488.99;15.54;479.59;27.315;7.1609;61.832;76.43;13.57;90;13.57;59.4;429.59;507.36;441.93;64.064;1.365
01/01/90 13:00;429.11;15.54;541.12;24.375;22.173;57.512;50.208;39.792;90;39.792;57.002;372.11;565.38;484.28;71.159;9.9393
01/01/90 14:00;315.9;15.54;598.89;18.758;35.759;50.209;30.164;59.836;90;59.836;51.302;264.6;617.27;526.6;74.948;15.717
01/01/90 15:00;165.6;16.33;423.95;11.052;47.638;43.624;14.807;60;90;60;92.197;73.398;436.42;277.17;150.97;8.2798
01/01/90 16:00;8.8923;14.17;0;3.4501;56.365;41.425;4.1417;60;90;60;8.8923;0;2.3216;0;1.877;0.4446
01/01/90 17:00;0;13.02;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 18:00;0;11.87;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 19:00;0;10.73;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 20:00;0;9.5804;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 21:00;0;8.4303;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 22:00;0;7.2802;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 23:00;0;6.1301;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 00:00;0;4.3296;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 01:00;0;2.3602;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 02:00;0;0.39;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 03:00;0;-0.68;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 04:00;0;-1.75;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 05:00;0;-2.5202;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 06:00;0;-3.2903;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 07:00;7.1037;-3.1904;0;2.9982;-56.965;41.307;3.575;60;-90;-60;7.0973;0.0064;1.6225;0.0924;1.1749;0.3552
01/02/90 08:00;160.5;-0.3604;426.89;10.375;-48.658;43.146;13.705;60;-90;-60;91.899;68.602;439.34;277.92;153.39;8.025
01/02/90 09:00;317.59;2.5101;627.64;18.244;-36.913;49.419;28.76;60;-90;-60;59.4;258.19;646.53;536.5;94.149;15.88
01/02/90 10:00;436.4;5.0197;564.91;24.075;-23.457;56.883;48.301;41.699;-90;-41.699;66.699;369.7;589.43;495.14;83.232;11.056
01/02/90 11:00;499.3;6.9399;496.58;27.273;-8.5211;61.525;73.965;16.035;-90;-16.035;67.798;431.5;524.73;448.97;73.815;1.9427
01/02/90 12:00;501.7;8.1899;491.74;27.422;7.0544;61.754;76.683;13.317;90;13.317;67.701;434;520.02;445.99;72.677;1.3491
01/02/90 13:00;442.89;8.6999;555.36;24.5;22.096;57.472;50.463;39.537;90;39.537;66.102;376.79;580.24;488.57;81.538;10.133
01/02/90 14:00;328.59;8.4596;621.39;18.894;35.712;50.194;30.385;59.615;90;59.615;59.602;268.99;640.74;531.8;92.702;16.239
01/02/90 15:00;175.2;7.1001;439.33;11.192;47.614;43.568;14.997;60;90;60;98.802;76.395;452.29;285.17;158.36;8.7598
01/02/90 16:00;10.799;4.8904;0;3.4317;56.522;41.325;4.1122;60;90;60;10.799;0;3.6193;0;3.0793;0.5399
01/02/90 17:00;0;3.9497;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 18:00;0;3.0098;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 19:00;0;2.0699;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 20:00;0;1.1403;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 21:00;0;0.1996;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 22:00;0;-0.7403;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 23:00;0;-1.6699;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/03/90 00:00;0;-1.8904;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/03/90 01:00;0;-2.0403;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/03/90 02:00;0;-2.1902;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/03/90 03:00;0;-2.2402;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/03/90 04:00;0;-2.2798;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/03/90 05:00;0;-2.2901;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/03/90 06:00;0;-2.31;0;0;0;90;0;0;0;0;0;0;0;0;0;0
