PVSYST v6.42
;File;File date;Description
Project;San Francisco_Project.PRJ;08/03/16 10h02;San Francisco;
Geographical Site;San Francisco_MN71.SIT;08/03/16 10h02;San Francisco;United States;North_America;;
Meteo data;San Francisco_MN71_Synthetic.MET;00/00/00 00h00;San Francisco;MeteoNorm;Synthetic;
Simulation variant;San Francisco_Project.VC0;00/00/00 00h00;Test 1 - Basic;
Simulation date;;08/03/16 20h51

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;DiffHor;BeamHor;GlobHor;T Amb;GlobInc;BeamInc;DifSInc;Alb Inc;GlobIAM;GlobEff;BeamEff;DiffEff;Alb_Eff
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;캜;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;10.77;0;0;0;0;0;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;12.35;0;0;0;0;0;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;12.07;0;0;0;0;0;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;12.03;0;0;0;0;0;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;11.96;0;0;0;0;0;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;11.93;0;0;0;0;0;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;11.77;0;0;0;0;0;0;0;0;0
01/01/90 07:00;2.8016;-58.089;40.65;3.2994;60;-90;-60;1.3981;0;1.3981;11.86;-0.0306;0;-0.1005;0.0699;0;0;0;0;0
01/01/90 08:00;10.044;-50.623;41.724;12.905;60;-90;-60;20.695;0;20.695;12.06;11.629;0;10.594;1.0348;11.124;11.124;0;10.09;1.0348
01/01/90 09:00;18.446;-39.294;47.275;27.776;60;-90;-60;43.397;0.0089;43.406;12.24;29.963;0.0191;27.773;2.1703;28.64;28.64;0.0187;26.451;2.1703
01/01/90 10:00;24.88;-26.123;54.541;46.487;43.513;-90;-43.513;64.8;0;64.8;12.42;53.742;0;51.962;1.7806;51.268;51.268;0;49.488;1.7806
01/01/90 11:00;28.698;-11.234;59.357;70.411;19.589;-90;-19.589;84.403;0.0036;84.406;12.73;80.33;0.0038;79.837;0.4885;76.529;76.529;0.0036;76.036;0.4885
01/01/90 12:00;29.392;4.5623;60.287;81.962;8.0378;90;8.0378;83.297;0.0037;83.301;12.87;82.1;0.0037;82.014;0.0818;78.195;78.195;0.0035;78.11;0.0818
01/01/90 13:00;26.857;19.976;56.978;55.996;34.004;90;34.004;72.797;0.0013;72.799;12.89;64.52;0.0015;63.273;1.2449;61.507;61.507;0.0015;60.261;1.2449
01/01/90 14:00;21.458;33.929;50.554;35.154;54.846;90;54.846;55.499;0.1001;55.599;12.89;41.666;0.1738;39.133;2.3586;39.798;39.798;0.1688;37.27;2.3586
01/01/90 15:00;13.815;46.02;43.569;18.866;60;90;60;31.701;0;31.701;12.67;20.479;0;18.894;1.5851;19.579;19.579;0;17.994;1.5851
01/01/90 16:00;4.8788;56.092;40.654;5.8721;60;90;60;4.6983;0;4.6983;12.31;0.4145;0;0.1796;0.2349;0;0;0;0;0
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;11.8;0;0;0;0;0;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;11.65;0;0;0;0;0;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;11.16;0;0;0;0;0;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;11.19;0;0;0;0;0;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;11.26;0;0;0;0;0;0;0;0;0
01/02/90 00:00;0;0;90;0;0;0;0;0;0;0;10.98;0;0;0;0;0;0;0;0;0
01/02/90 01:00;0;0;90;0;0;0;0;0;0;0;10.37;0;0;0;0;0;0;0;0;0
01/02/90 02:00;0;0;90;0;0;0;0;0;0;0;10.63;0;0;0;0;0;0;0;0;0
01/02/90 03:00;0;0;90;0;0;0;0;0;0;0;10.74;0;0;0;0;0;0;0;0;0
01/02/90 04:00;0;0;90;0;0;0;0;0;0;0;10.62;0;0;0;0;0;0;0;0;0
01/02/90 05:00;0;0;90;0;0;0;0;0;0;0;10.61;0;0;0;0;0;0;0;0;0
01/02/90 06:00;0;0;90;0;0;0;0;0;0;0;10.52;0;0;0;0;0;0;0;0;0
01/02/90 07:00;2.7906;-58.231;40.558;3.2814;60;-90;-60;1.4956;0;1.4956;10.58;-0.0264;0;-0.1012;0.0748;0;0;0;0;0
01/02/90 08:00;10.046;-50.767;41.605;12.882;60;-90;-60;33.099;0;33.099;11.01;22.047;0;20.392;1.655;21.076;21.076;0;19.421;1.655
01/02/90 09:00;18.47;-39.442;47.137;27.733;60;-90;-60;72.797;0.0988;72.896;11.51;54.622;0.2121;50.765;3.6448;52.201;52.201;0.2072;48.349;3.6448
01/02/90 10:00;24.929;-26.27;54.407;46.401;43.599;-90;-43.599;95.301;0.0951;95.396;11.92;80.841;0.1313;78.079;2.6312;77.119;77.119;0.1266;74.361;2.6312
01/02/90 11:00;28.775;-11.371;59.24;70.252;19.748;-90;-19.748;100.4;0.0029;100.4;12.18;95.68;0.0031;95.087;0.5905;91.153;91.153;0.0029;90.56;0.5905
01/02/90 12:00;29.495;4.4493;60.201;82.191;7.809;90;7.809;101.6;0.0025;101.61;12.36;100.24;0.0025;100.15;0.0942;95.474;95.474;0.0024;95.377;0.0942
01/02/90 13:00;26.98;19.895;56.927;56.24;33.76;90;33.76;93.699;0.1039;93.803;12.46;83.92;0.125;82.213;1.5818;80.001;80.001;0.1198;78.299;1.5818
01/02/90 14:00;21.593;33.879;50.53;35.375;54.625;90;54.625;72.098;0.0017;72.1;12.45;55.399;0.0029;52.36;3.0359;52.906;52.906;0.0028;49.867;3.0359
01/02/90 15:00;13.955;45.996;43.521;19.059;60;90;60;42.593;0;42.593;12.29;29.383;0;27.253;2.1297;28.085;28.085;0;25.955;2.1297
01/02/90 16:00;4.8568;56.249;40.552;5.835;60;90;60;6.3027;0.005;6.3077;11.93;0.9569;0.0445;0.5971;0.3154;0;0;0;0;0
01/02/90 17:00;0;0;90;0;0;0;0;0;0;0;11.79;0;0;0;0;0;0;0;0;0
01/02/90 18:00;0;0;90;0;0;0;0;0;0;0;11.64;0;0;0;0;0;0;0;0;0
01/02/90 19:00;0;0;90;0;0;0;0;0;0;0;11.36;0;0;0;0;0;0;0;0;0
01/02/90 20:00;0;0;90;0;0;0;0;0;0;0;11.51;0;0;0;0;0;0;0;0;0
01/02/90 21:00;0;0;90;0;0;0;0;0;0;0;11.39;0;0;0;0;0;0;0;0;0
01/02/90 22:00;0;0;90;0;0;0;0;0;0;0;10.89;0;0;0;0;0;0;0;0;0
01/02/90 23:00;0;0;90;0;0;0;0;0;0;0;9.75;0;0;0;0;0;0;0;0;0
01/03/90 00:00;0;0;90;0;0;0;0;0;0;0;11.08;0;0;0;0;0;0;0;0;0
01/03/90 01:00;0;0;90;0;0;0;0;0;0;0;11.03;0;0;0;0;0;0;0;0;0
01/03/90 02:00;0;0;90;0;0;0;0;0;0;0;10.73;0;0;0;0;0;0;0;0;0
01/03/90 03:00;0;0;90;0;0;0;0;0;0;0;9.9098;0;0;0;0;0;0;0;0;0
01/03/90 04:00;0;0;90;0;0;0;0;0;0;0;10.52;0;0;0;0;0;0;0;0;0
01/03/90 05:00;0;0;90;0;0;0;0;0;0;0;10.93;0;0;0;0;0;0;0;0;0
01/03/90 06:00;0;0;90;0;0;0;0;0;0;0;10.92;0;0;0;0;0;0;0;0;0
01/03/90 07:00;2.7851;-58.378;40.459;3.2697;60;-90;-60;1.4956;0;1.4956;10.98;-0.0281;0;-0.1029;0.0748;0;0;0;0;0
01/03/90 08:00;10.053;-50.916;41.48;12.866;60;-90;-60;31.701;0;31.701;11.47;20.734;0;19.149;1.5851;19.822;19.822;0;18.237;1.5851
01/03/90 09:00;18.499;-39.593;46.994;27.698;60;-90;-60;44.3;0.0005;44.3;11.7;30.632;0.0011;28.416;2.215;29.279;29.279;0.0011;27.063;2.215
