PVSYST v6.43
;File;File date;Description
Project;Seattle_Project.PRJ;00/00/00 00h00;Seattle;
Geographical Site;New.SIT;00/00/00 00h00;Seattle;United States;North_America;
Meteo data;Seattle_MN71_Synthetic.MET;00/00/00 00h00;Seattle;MeteoNorm 7.1 station;Synthetic;
Simulation variant;Seattle_Project.VC0;00/00/00 00h00;;
Simulation date;;18/05/16 18h19

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;3.9001;-49.261;46.475;5.1415;60;-90;-60;11;11;0;0;0;0;0;4.5405;0;3.9906;0.55;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 09:00;10.615;-37.615;52.292;17.07;60;-90;-60;86.493;69.6;16.893;132.73;55.961;74.891;1.8786;139.64;56.09;79.223;4.3246;0.9608;1;0.9615;0.4414;0.9893;0.9977;0.9832;0.9841;134.17;5.467;0;3.0513
01/01/90 10:00;15.828;-24.464;61.129;34.395;55.605;-90;-55.605;143.8;122.3;21.504;144.77;37.548;104.5;2.7165;154.3;38.068;109.97;6.2568;0.953;1;0.966;0.4386;0.9845;0.9864;0.9837;0.9899;147.04;7.2556;0;3.7429
01/01/90 11:00;18.853;-10.335;68.591;62.283;27.717;-90;-27.717;185.8;146.1;39.707;183.33;42.613;139.64;1.0699;190.6;44.853;143.61;2.1321;0.9862;1;0.9883;0.5536;0.9753;0.95;0.9838;0.9064;187.97;2.6274;0;1.6756
01/01/90 12:00;19.388;4.2817;70.163;78.022;11.978;90;11.978;182.7;149.1;33.603;177.73;32.246;145.18;0.3056;183.35;34.351;148.61;0.3978;0.997;1;0.9968;0.8089;0.9723;0.9387;0.9801;0.9498;182.8;0.5543;0;0.4782
01/01/90 13:00;17.373;18.69;64.696;44.313;45.687;90;45.687;145.3;126.6;18.707;138.01;26.016;110.04;1.9573;145.8;26.779;114.64;4.3798;0.964;1;0.9751;0.4538;0.9819;0.9715;0.9844;0.9847;140.55;5.2447;0;2.8526
01/01/90 14:00;13.021;32.285;55.713;23.41;60;90;60;95.799;89.1;6.6984;95.872;16.652;77.14;2.0798;103.14;16.748;81.601;4.7899;0.9436;1;0.9615;0.4412;0.9851;0.9943;0.9832;0.9841;97.321;5.8182;0;3.1416
01/01/90 15:00;6.7257;44.777;48.368;9.5049;60;90;60;41.102;39.897;1.2046;39.126;5.9812;32.253;0.8923;43.006;6.8332;34.118;2.0551;0.9229;0.8753;0.9615;0.4412;0.9857;1;0.9832;0.9841;39.693;3.3139;0.852;1.3135
01/01/90 16:00;1.5366;52.69;45.415;1.9317;60;90;60;0.6014;0.6014;0;0;0;0;0;0.6315;0;0.6014;0.0301;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;3.922;-49.402;46.352;5.1594;60;-90;-60;5.3019;5.2991;0.0028;0;0;0;0;1.0566;0.0284;0.7631;0.2651;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 09:00;10.654;-37.754;52.154;17.08;60;-90;-60;41.798;41.702;0.0959;27.813;0.3175;26.588;0.9079;30.534;0.3182;28.126;2.0899;0.9263;1;0.9615;0.4414;0.9834;0.9978;0.9832;0.9841;28.283;2.2507;0;1.0833
02/01/90 10:00;15.888;-24.598;60.988;34.364;55.636;-90;-55.636;70.508;70.4;0.1082;50.824;0.1891;49.302;1.3333;55.148;0.1916;51.886;3.071;0.9367;1;0.9659;0.4386;0.9839;0.9868;0.9837;0.9899;51.657;3.4916;0;1.7675
02/01/90 11:00;18.935;-10.459;68.462;62.115;27.885;-90;-27.885;80.7;80.601;0.0989;71.911;0.1064;71.335;0.4693;74.418;0.1119;73.369;0.9371;0.9828;1;0.9882;0.5521;0.9833;0.9509;0.9839;0.907;73.135;1.2833;0;0.8636
