PVSYST v6.43
;File;File date;Description
Project;Seattle_Project.PRJ;00/00/00 00h00;Seattle;
Geographical Site;New.SIT;00/00/00 00h00;Seattle;United States;North_America;
Meteo data;Seattle_MN71_Synthetic.MET;00/00/00 00h00;Seattle;MeteoNorm 7.1 station;Synthetic;
Simulation variant;Seattle_Project.VC7;19/05/16 08h22;20R_5GCR_b;
Simulation date;;19/05/16 08h22

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;3.9001;-49.261;82.469;5.1415;4.8019;-90;-4.8019;11;11;0;10.401;0;10.398;0.0034;10.661;0;10.657;0.0039;0.9975;1;0.9975;0.8818;0.9781;1;0.9781;0.9924;10.634;0.027;0;0.0265
01/01/90 09:00;10.615;-37.615;69.21;17.07;17.374;-90;-17.374;86.493;69.6;16.893;105.91;30.786;74.983;0.1425;110.94;32.55;77.993;0.3946;0.9828;1;0.9786;0.3911;0.9714;0.9458;0.9825;0.9234;109.02;1.9128;0;1.6725
01/01/90 10:00;15.828;-24.464;61.129;34.395;55.605;-90;-55.605;143.8;122.3;21.504;132.5;37.548;93.795;1.1598;154.3;38.068;109.97;6.2568;0.8732;1;0.8683;0.1886;0.9834;0.9864;0.9823;0.983;134.73;19.564;0;14.487
01/01/90 11:00;18.853;-10.335;68.591;62.283;27.717;-90;-27.717;185.8;146.1;39.707;177.64;42.613;134.63;0.4011;190.6;44.853;143.61;2.1321;0.9555;1;0.9526;0.2143;0.9754;0.95;0.9841;0.8776;182.12;8.4799;0;6.8049
01/01/90 12:00;19.388;4.2817;70.163;78.022;11.978;90;11.978;182.7;149.1;33.603;176.54;32.246;144.05;0.2362;183.35;34.351;148.61;0.3978;0.99;1;0.9887;0.614;0.9726;0.9387;0.9805;0.9671;181.52;1.8387;0;1.6852
01/01/90 13:00;17.373;18.69;64.696;44.313;45.687;90;45.687;145.3;126.6;18.707;128.13;26.016;101.28;0.8393;145.8;26.779;114.64;4.3798;0.8959;1;0.8983;0.1961;0.981;0.9715;0.9835;0.9772;130.62;15.18;0;11.659
01/01/90 14:00;13.021;32.285;64.27;23.41;26.546;90;26.546;95.799;89.1;6.6984;100.06;12.565;87.296;0.1952;106.72;12.907;92.807;1.01;0.9543;1;0.9559;0.221;0.9825;0.9735;0.984;0.8745;101.84;4.8804;0;4.0937
01/01/90 15:00;6.7257;44.777;76.958;9.5049;9.048;90;9.048;41.102;39.897;1.2046;41.394;2.0035;39.354;0.0367;42.837;2.3211;40.465;0.0511;0.993;1;0.993;0.7317;0.9731;0.8632;0.9794;0.9802;42.539;0.2986;0;0.2849
01/01/90 16:00;1.5366;52.69;87.038;1.9317;1.7923;90;1.7923;0.6014;0.6014;0;0;0;0;0;0.6014;0;0.6014;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;3.922;-49.402;82.427;5.1594;4.8188;-90;-4.8188;5.3019;5.2991;0.0028;0;0;0;0;5.0558;0.0054;5.0485;0.0019;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 09:00;10.654;-37.754;69.131;17.08;17.387;-90;-17.387;41.798;41.702;0.0959;38.368;0.1748;38.124;0.0689;40.031;0.1847;39.655;0.191;0.9758;1;0.9785;0.3906;0.9822;0.9464;0.9825;0.9233;39.063;0.9678;0;0.8514
02/01/90 10:00;15.888;-24.598;60.988;34.364;55.636;-90;-55.636;70.508;70.4;0.1082;45.006;0.1891;44.247;0.5692;55.148;0.1916;51.886;3.071;0.8308;1;0.8682;0.1886;0.9823;0.9868;0.9823;0.983;45.816;9.332;0;6.8401
02/01/90 11:00;18.935;-10.459;68.462;62.115;27.885;-90;-27.885;80.7;80.601;0.0989;69.028;0.1064;68.746;0.1757;74.418;0.1119;73.369;0.9371;0.9429;1;0.9521;0.2135;0.9837;0.9509;0.9841;0.8782;70.17;4.2484;0;3.5114
