PVSYST v6.43
;File;File date;Description
Project;Seattle_Project.PRJ;00/00/00 00h00;Seattle;
Geographical Site;New.SIT;00/00/00 00h00;Seattle;United States;North_America;
Meteo data;Seattle_MN71_Synthetic.MET;00/00/00 00h00;Seattle;MeteoNorm 7.1 station;Synthetic;
Simulation variant;Seattle_Project.VCA;19/05/16 08h40;20R_7GCR;
Simulation date;;19/05/16 08h40

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;3.9001;-49.261;46.475;5.1415;60;-90;-60;11;11;0;0;0;0;0;4.5405;0;3.9906;0.55;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 09:00;10.615;-37.615;52.292;17.07;60;-90;-60;86.493;69.6;16.893;90.074;29.135;60.382;0.5564;139.64;56.09;79.223;4.3246;0.6544;0.5206;0.7777;0.1322;0.9857;0.9977;0.9801;0.9729;91.385;48.253;26.888;17.613
01/01/90 10:00;15.828;-24.464;61.129;34.395;55.605;-90;-55.605;143.8;122.3;21.504;117.58;31.223;85.549;0.804;154.3;38.068;109.97;6.2568;0.7757;0.8315;0.793;0.1312;0.9824;0.9864;0.981;0.9795;119.68;34.615;6.4126;22.766
01/01/90 11:00;18.853;-10.335;68.591;62.283;27.717;-90;-27.717;185.8;146.1;39.707;170.68;41.961;128.47;0.2464;190.6;44.853;143.61;2.1321;0.9182;0.9847;0.9091;0.1351;0.9752;0.95;0.984;0.8557;175.02;15.582;0.6858;13.052
01/01/90 12:00;19.388;4.2817;70.163;78.022;11.978;90;11.978;182.7;149.1;33.603;174.29;32.137;141.94;0.22;183.35;34.351;148.61;0.3978;0.9774;0.9966;0.974;0.568;0.9726;0.9387;0.9806;0.9737;179.21;4.1494;0.1162;3.8614
01/01/90 13:00;17.373;18.69;64.696;44.313;45.687;90;45.687;145.3;126.6;18.707;118.44;24.368;93.491;0.5844;145.8;26.779;114.64;4.3798;0.8288;0.9367;0.8301;0.1371;0.9802;0.9715;0.9825;0.9736;120.84;24.959;1.6963;19.483
01/01/90 14:00;13.021;32.285;55.713;23.41;60;90;60;95.799;89.1;6.6984;73.696;10.884;62.195;0.617;103.14;16.748;81.601;4.7899;0.7276;0.6536;0.7777;0.1324;0.9821;0.9943;0.9801;0.9729;75.041;28.098;5.8016;18.141
01/01/90 15:00;6.7257;44.777;48.368;9.5049;60;90;60;41.102;39.897;1.2046;28.798;2.5293;26.004;0.2647;43.006;6.8332;34.118;2.0551;0.6821;0.3701;0.7777;0.1324;0.9817;1;0.9801;0.9729;29.335;13.672;4.3039;7.5847
01/01/90 16:00;1.5366;52.69;45.415;1.9317;60;90;60;0.6014;0.6014;0;0;0;0;0;0.6315;0;0.6014;0.0301;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;3.922;-49.402;46.352;5.1594;60;-90;-60;5.3019;5.2991;0.0028;0;0;0;0;1.0566;0.0284;0.7631;0.2651;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 09:00;10.654;-37.754;52.154;17.08;60;-90;-60;41.798;41.702;0.0959;21.871;0.165;21.437;0.2689;30.534;0.3182;28.126;2.0899;0.7308;0.5197;0.7777;0.1322;0.9801;0.9978;0.9801;0.9729;22.315;8.2191;0.1528;6.2528
02/01/90 10:00;15.888;-24.598;60.988;34.364;55.636;-90;-55.636;70.508;70.4;0.1082;40.907;0.1572;40.356;0.3946;55.148;0.1916;51.886;3.071;0.7562;0.8312;0.7929;0.1312;0.981;0.9868;0.981;0.9794;41.701;13.447;0.0323;10.747
02/01/90 11:00;18.935;-10.459;68.462;62.115;27.885;-90;-27.885;80.7;80.601;0.0989;65.791;0.1048;65.578;0.1078;74.418;0.1119;73.369;0.9371;0.8987;0.9856;0.9084;0.1344;0.9837;0.9509;0.984;0.8562;66.882;7.5363;0.0016;6.7236
