PVSYST v6.43
;File;File date;Description
Project;Seattle_Project.PRJ;00/00/00 00h00;Seattle;
Geographical Site;New.SIT;00/00/00 00h00;Seattle;United States;North_America;
Meteo data;Seattle_MN71_Synthetic.MET;00/00/00 00h00;Seattle;MeteoNorm 7.1 station;Synthetic;
Simulation variant;Seattle_Project.VCB;19/05/16 08h41;20R_7GCR_b;
Simulation date;;19/05/16 08h42

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;3.9001;-49.261;84.622;5.1415;1.9524;-90;-1.9524;11;11;0;10.661;0;10.66;0.0006;10.927;0;10.927;0.0006;0.9981;1;0.9981;0.9552;0.9774;1;0.9774;0.9982;10.907;0.0207;0;0.0207
01/01/90 09:00;10.615;-37.615;75.294;17.07;6.7907;-90;-6.7907;86.493;69.6;16.893;91.711;20.632;71.031;0.0476;96.706;23.279;73.365;0.0607;0.9917;1;0.9892;0.7929;0.9563;0.8863;0.9788;0.9905;95.9;0.8057;0;0.7931
01/01/90 10:00;15.828;-24.464;67.922;34.395;16.724;-90;-16.724;143.8;122.3;21.504;146.55;28.28;118.07;0.1995;155.93;29.634;125.68;0.6083;0.9622;1;0.9562;0.3493;0.9768;0.9543;0.9824;0.9389;150.03;5.8966;0;5.5008
01/01/90 11:00;18.853;-10.335;68.591;62.283;27.717;-90;-27.717;185.8;146.1;39.707;171.33;42.613;128.47;0.2464;190.6;44.853;143.61;2.1321;0.9218;1;0.9091;0.1351;0.9751;0.95;0.984;0.8557;175.7;14.896;0;13.052
01/01/90 12:00;19.388;4.2817;70.163;78.022;11.978;90;11.978;182.7;149.1;33.603;174.4;32.246;141.94;0.22;183.35;34.351;148.61;0.3978;0.978;1;0.974;0.568;0.9726;0.9387;0.9806;0.9737;179.32;4.0332;0;3.8614
01/01/90 13:00;17.373;18.69;65.703;44.313;29.983;90;29.983;145.3;126.6;18.707;134.61;24.918;109.48;0.2164;151.51;25.779;123.79;1.9446;0.9062;1;0.8988;0.1285;0.9805;0.9666;0.9839;0.8662;137.29;14.218;0;12.523
01/01/90 14:00;13.021;32.285;71.912;23.41;9.7865;90;9.7865;95.799;89.1;6.6984;96.838;8.5266;88.22;0.0913;101.15;9.2307;91.778;0.1394;0.9823;1;0.981;0.667;0.9746;0.9237;0.9798;0.9823;99.363;1.7857;0;1.7393
01/01/90 15:00;6.7257;44.777;80.712;9.5049;3.6485;90;3.6485;41.102;39.897;1.2046;40.459;1.3237;39.127;0.0075;41.857;1.66;40.189;0.0083;0.9958;1;0.9956;0.9057;0.9707;0.7974;0.9778;0.996;41.681;0.1761;0;0.1753
01/01/90 16:00;1.5366;52.69;88.021;2.5341;0.7307;0;0.7307;0.6014;0.6014;0;0;0;0;0;0.6014;0;0.6014;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;3.922;-49.402;84.592;5.1594;1.9592;-90;-1.9592;5.3019;5.2991;0.0028;0;0;0;0;5.2529;0.0039;5.2487;0.0003;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 09:00;10.654;-37.754;75.24;17.08;6.795;-90;-6.795;41.798;41.702;0.0959;39.954;0.1172;39.813;0.0231;41.283;0.1321;41.122;0.0294;0.9891;1;0.9892;0.7927;0.9785;0.887;0.9788;0.9905;40.832;0.4511;0;0.445
02/01/90 10:00;15.888;-24.598;67.837;34.364;16.699;-90;-16.699;70.508;70.4;0.1082;64.008;0.1423;63.768;0.0979;68.321;0.149;67.874;0.2973;0.9538;1;0.9563;0.3504;0.9823;0.9548;0.9824;0.9392;65.164;3.1568;0;2.9637
02/01/90 11:00;18.935;-10.459;68.462;62.115;27.885;-90;-27.885;80.7;80.601;0.0989;65.792;0.1064;65.578;0.1078;74.418;0.1119;73.369;0.9371;0.8988;1;0.9084;0.1344;0.9837;0.9509;0.984;0.8562;66.884;7.5347;0;6.7236
