PVSYST v6.43
;File;File date;Description
Project;Seattle_Project.PRJ;00/00/00 00h00;Seattle;
Geographical Site;New.SIT;00/00/00 00h00;Seattle;United States;North_America;
Meteo data;Seattle_MN71_Synthetic.MET;00/00/00 00h00;Seattle;MeteoNorm 7.1 station;Synthetic;
Simulation variant;Seattle_Project.VCC;19/05/16 08h43;20R_8GCR;
Simulation date;;19/05/16 08h43

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;3.9001;-49.261;46.475;5.1415;60;-90;-60;11;11;0;0;0;0;0;4.5405;0;3.9906;0.55;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 09:00;10.615;-37.615;52.292;17.07;60;-90;-60;86.493;69.6;16.893;83.972;26.099;57.396;0.4777;139.64;56.09;79.223;4.3246;0.6106;0.4664;0.7398;0.1138;0.9849;0.9977;0.9792;0.971;85.263;54.374;29.931;20.611
01/01/90 10:00;15.828;-24.464;61.129;34.395;55.605;-90;-55.605;143.8;122.3;21.504;110.22;28.167;81.36;0.6895;154.3;38.068;109.97;6.2568;0.7276;0.7501;0.7548;0.1127;0.9817;0.9864;0.9802;0.9777;112.27;42.033;9.5114;26.97
01/01/90 11:00;18.853;-10.335;68.591;62.283;27.717;-90;-27.717;185.8;146.1;39.707;164.32;39.911;124.21;0.1974;190.6;44.853;143.61;2.1321;0.8841;0.9366;0.8791;0.1099;0.9752;0.95;0.9838;0.8424;168.5;22.098;2.8444;17.356
01/01/90 12:00;19.388;4.2817;70.163;78.022;11.978;90;11.978;182.7;149.1;33.603;171.8;31.485;140.1;0.2149;183.35;34.351;148.61;0.3978;0.9634;0.9764;0.9615;0.5535;0.9726;0.9387;0.9805;0.9761;176.64;6.7161;0.8109;5.7276
01/01/90 13:00;17.373;18.69;64.696;44.313;45.687;90;45.687;145.3;126.6;18.707;111.93;22.193;89.229;0.5038;145.8;26.779;114.64;4.3798;0.7836;0.8531;0.7927;0.1183;0.9797;0.9715;0.9818;0.9719;114.24;31.557;3.9344;23.761
01/01/90 14:00;13.021;32.285;55.713;23.41;60;90;60;95.799;89.1;6.6984;69.426;9.7781;59.119;0.5289;103.14;16.748;81.601;4.7899;0.686;0.5872;0.7399;0.1137;0.9813;0.9943;0.9792;0.971;70.752;32.387;6.9136;21.228
01/01/90 15:00;6.7257;44.777;48.368;9.5049;60;90;60;41.102;39.897;1.2046;27.204;2.2587;24.718;0.2269;43.006;6.8332;34.118;2.0551;0.6449;0.3306;0.7399;0.1137;0.9809;1;0.9792;0.971;27.735;15.271;4.5744;8.8757
01/01/90 16:00;1.5366;52.69;45.415;1.9317;60;90;60;0.6014;0.6014;0;0;0;0;0;0.6315;0;0.6014;0.0301;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;3.922;-49.402;46.352;5.1594;60;-90;-60;5.3019;5.2991;0.0028;0;0;0;0;1.0566;0.0284;0.7631;0.2651;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 09:00;10.654;-37.754;52.154;17.08;60;-90;-60;41.798;41.702;0.0959;20.755;0.1478;20.376;0.2309;30.534;0.3182;28.126;2.0899;0.6941;0.4655;0.7398;0.1138;0.9793;0.9978;0.9792;0.971;21.194;9.3394;0.1701;7.3172
02/01/90 10:00;15.888;-24.598;60.988;34.364;55.636;-90;-55.636;70.508;70.4;0.1082;38.86;0.1418;38.379;0.3384;55.148;0.1916;51.886;3.071;0.7189;0.7498;0.7547;0.1127;0.9802;0.9868;0.9802;0.9777;39.646;15.503;0.0479;12.73
02/01/90 11:00;18.935;-10.459;68.462;62.115;27.885;-90;-27.885;80.7;80.601;0.0989;63.578;0.0997;63.392;0.0863;74.418;0.1119;73.369;0.9371;0.8687;0.9368;0.8783;0.1093;0.9835;0.9509;0.9838;0.8428;64.646;9.7721;0.0071;8.9304
