PVSYST v6.43
;File;File date;Description
Project;Seattle_Project.PRJ;00/00/00 00h00;Seattle;
Geographical Site;New.SIT;00/00/00 00h00;Seattle;United States;North_America;
Meteo data;Seattle_MN71_Synthetic.MET;00/00/00 00h00;Seattle;MeteoNorm 7.1 station;Synthetic;
Simulation variant;Seattle_Project.VCD;19/05/16 08h44;20R_8GCR_b;
Simulation date;;19/05/16 08h44

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss
    ;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 08:00;3.9001;-49.261;85.29;5.1415;1.0698;-90;-1.0698;11;11;0;10.741;0;10.741;0.0002;11.008;0;11.008;0.0002;0.9985;1;0.9985;0.9764;0.9773;1;0.9773;0.9992;10.991;0.0167;0;0.0167
01/01/90 09:00;10.615;-37.615;77.15;17.07;3.6865;-90;-3.6865;86.493;69.6;16.893;87.195;17.545;69.634;0.0161;92.13;20.395;71.717;0.0179;0.9945;1;0.9929;0.9011;0.9517;0.8603;0.9778;0.9964;91.623;0.5075;0;0.5057
01/01/90 10:00;15.828;-24.464;70.774;34.395;8.6058;-90;-8.6058;143.8;122.3;21.504;143.71;24.243;119.35;0.1133;150.94;25.962;124.81;0.1619;0.9802;1;0.9764;0.7087;0.9713;0.9338;0.9793;0.9874;147.95;2.9865;0;2.9393
01/01/90 11:00;18.853;-10.335;68.591;62.283;27.717;-90;-27.717;185.8;146.1;39.707;167.02;42.613;124.21;0.1974;190.6;44.853;143.61;2.1321;0.899;1;0.8791;0.1099;0.9747;0.95;0.9838;0.8424;171.35;19.254;0;17.356
01/01/90 12:00;19.388;4.2817;70.163;78.022;11.978;90;11.978;182.7;149.1;33.603;172.56;32.246;140.1;0.2149;183.35;34.351;148.61;0.3978;0.9678;1;0.9615;0.5535;0.9724;0.9387;0.9805;0.9761;177.45;5.9052;0;5.7276
01/01/90 13:00;17.373;18.69;68.87;44.313;13.188;90;13.188;145.3;126.6;18.707;141.41;21.415;119.81;0.1844;150.79;22.585;127.82;0.3832;0.961;1;0.9555;0.4958;0.9759;0.9482;0.981;0.9702;144.91;5.8803;0;5.6871
01/01/90 14:00;13.021;32.285;74.216;23.41;5.2544;90;5.2544;95.799;89.1;6.6984;95.039;7.2745;87.731;0.0339;98.851;8.0871;90.724;0.0403;0.9894;1;0.9885;0.8459;0.9718;0.8995;0.9783;0.9942;97.8;1.0509;0;1.0447
01/01/90 15:00;6.7257;44.777;81.871;9.5049;1.995;90;1.995;41.102;39.897;1.2046;40.165;1.124;39.039;0.0024;41.524;1.4544;40.067;0.0025;0.9969;1;0.9968;0.9524;0.9703;0.7729;0.9774;0.9983;41.396;0.1277;0;0.1276
01/01/90 16:00;1.5366;52.69;88.221;2.5341;0.4007;0;0.4007;0.6014;0.6014;0;0;0;0;0;0.6014;0;0.6014;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 20:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 21:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 22:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
01/01/90 23:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 08:00;3.922;-49.402;85.263;5.1594;1.0735;-90;-1.0735;5.3019;5.2991;0.0028;0;0;0;0;5.313;0.0034;5.3095;0.0001;1;1;1;1;1;1;1;1;0;0;0;0
02/01/90 09:00;10.654;-37.754;77.102;17.08;3.6888;-90;-3.6888;41.798;41.702;0.0959;40.327;0.0997;40.22;0.0078;41.547;0.1158;41.423;0.0087;0.9929;1;0.9929;0.9011;0.9775;0.861;0.9778;0.9964;41.254;0.2932;0;0.2923
02/01/90 10:00;15.888;-24.598;70.7;34.364;8.5944;-90;-8.5944;70.508;70.4;0.1082;66.612;0.122;66.434;0.0554;69.679;0.1306;69.469;0.0792;0.9762;1;0.9765;0.7092;0.9793;0.9344;0.9793;0.9874;68.023;1.6559;0;1.6328
02/01/90 11:00;18.935;-10.459;68.462;62.115;27.885;-90;-27.885;80.7;80.601;0.0989;63.585;0.1064;63.392;0.0863;74.418;0.1119;73.369;0.9371;0.8688;1;0.8783;0.1093;0.9835;0.9509;0.9838;0.8428;64.653;9.765;0;8.9304
