PVSYST v6.43
;File;File date;Description
Project;Seattle_Project.PRJ;00/00/00 00h00;Seattle;
Geographical Site;New.SIT;00/00/00 00h00;Seattle;United States;North_America;
Meteo data;Seattle_MN71_Synthetic.MET;00/00/00 00h00;Seattle;MeteoNorm 7.1 station;Synthetic;
Simulation variant;Seattle_Project.VCE;18/05/16 18h05;20R_2GCR_flat;
Simulation date;;18/05/16 18h13

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;HSol;AzSol;AngInc;AngProf;GlobHor;DiffHor;BeamHor;GlobEff;BeamEff;DiffEff;Alb_Eff;GlobInc;BeamInc;DifSInc;Alb Inc;FShdGl;FShdBm;FShdDif;FShdAlb;FIAMGl;FIAMBm;FIAMDif;FIAMAlb;GlobShd;ShdLoss;ShdBLss;ShdDLss;ShdALss
    ;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�;;;;;;;;;W/m�;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
01/01/90 01:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
01/01/90 02:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
01/01/90 03:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
01/01/90 04:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
01/01/90 05:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
01/01/90 06:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
01/01/90 07:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
01/01/90 08:00;3.9001;-49.261;86.1;5.9637;11;11;0;10.747;0;10.747;0;11;0;11;0;1;1;1;1;0.9771;1;0.9771;1;11;0;0;0;0
01/01/90 09:00;10.615;-37.615;79.385;13.311;86.493;69.6;16.893;81.907;13.903;68.004;0;86.493;16.893;69.6;0;1;1;1;1;0.947;0.823;0.9771;1;86.493;0;0;0;0
01/01/90 10:00;15.828;-24.464;74.172;17.3;143.8;122.3;21.504;138.85;19.354;119.49;0;143.8;21.504;122.3;0;1;1;1;1;0.9656;0.9;0.9771;1;143.8;0;0;0;0
01/01/90 11:00;18.853;-10.335;71.147;19.142;185.8;146.1;39.707;179.7;36.951;142.75;0;185.8;39.707;146.1;0;1;1;1;1;0.9671;0.9306;0.9771;1;185.8;0;0;0;0
01/01/90 12:00;19.388;4.2817;70.612;19.438;182.7;149.1;33.603;177.1;31.423;145.68;0;182.7;33.603;149.1;0;1;1;1;1;0.9694;0.9351;0.9771;1;182.7;0;0;0;0
01/01/90 13:00;17.373;18.69;72.627;18.277;145.3;126.6;18.707;140.84;17.15;123.69;0;145.3;18.707;126.6;0;1;1;1;1;0.9693;0.9168;0.9771;1;145.3;0;0;0;0
01/01/90 14:00;13.021;32.285;76.979;15.299;95.799;89.1;6.6984;92.837;5.7797;87.057;0;95.799;6.6984;89.1;0;1;1;1;1;0.9691;0.8628;0.9771;1;95.799;0;0;0;0
01/01/90 15:00;6.7257;44.777;83.274;9.4324;41.102;39.897;1.2046;39.868;0.8857;38.982;0;41.102;1.2046;39.897;0;1;1;1;1;0.97;0.7352;0.9771;1;41.102;0;0;0;0
01/01/90 16:00;1.5366;52.69;88.463;2.5341;0.6014;0.6014;0;0;0;0;0;0.6014;0;0.6014;0;1;1;1;1;1;1;1;1;0;0;0;0;0
01/01/90 17:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
01/01/90 18:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
01/01/90 19:00;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
