PVSYST v6.42
;File;File date;Description
Project;Vallenar_Project.PRJ;11/03/16 16h27;Chile;
Geographical Site;Vallenar_MN71.SIT;11/03/16 16h27;Vallenar;Chile;South_America;;
Meteo data;Vallenar_MN71_Synthetic.MET;00/00/00 00h00;Vallenar;MeteoNorm 7.1;Synthetic;
Simulation variant;Vallenar_Project.VC0;00/00/00 00h00;Single axis no backtrack;
Simulation date;;11/03/16 16h40

Simulation:;Hourly values; from 01/01/90; to 31/12/90

date;GlobHor;T Amb;GlobEff;HSol;AzSol;AngInc;AngProf;PlTilt;PlAzim;PhiAng;DiffHor;BeamHor;GlobInc;BeamInc;DifSInc;Alb Inc
    ;W/m�;캜;W/m�;�;�;�;�;�;�;�;W/m�;W/m�;W/m�;W/m�;W/m�;W/m�

01/01/90 00:00;0;15.97;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 01:00;0;15.21;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 02:00;0;14.8;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 03:00;0;14.39;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 04:00;0;14.11;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 05:00;0.1023;14.05;0;0.7469;-115.8;89.253;178.28;0;0;0;0.102;0.0003;0.1023;0.0003;0.102;0
01/01/90 06:00;82.505;14.59;377.66;7.3679;-112.06;30.668;7.9425;60;-90;-60;42.097;40.408;385.1;271.03;109.95;4.1252
01/01/90 07:00;269.39;15.62;661.72;19.82;-105.88;17.607;20.543;60;-90;-60;94.597;174.8;670.83;491.36;165.99;13.47
01/01/90 08:00;482.9;16.86;850.06;32.648;-100.14;8.5224;33.058;56.942;-90;-56.942;136.9;346.01;860.12;634.3;203.87;21.948
01/01/90 09:00;689.59;18.18;948.67;45.707;-94.276;2.985;45.786;44.214;-90;-44.214;202.8;486.79;961.21;679.17;262.51;19.533
01/01/90 10:00;854.99;19.43;997.33;58.866;-87.299;1.3959;58.895;31.105;-90;-31.105;252;602.99;1011.4;704.25;294.83;12.293
01/01/90 11:00;951.7;20.5;989.77;71.896;-75.863;4.3529;72.41;17.59;-90;-17.59;340.4;611.31;1007.1;641.29;361.32;4.45
01/01/90 12:00;945;21.28;931.02;83.176;-33.553;5.6832;86.216;3.7843;-90;-3.7843;385.5;559.5;949.67;560.72;388.74;0.2061
01/01/90 13:00;922.59;21.84;925.8;78.62;62.151;5.2886;79.909;10.091;90;10.091;354.2;568.39;943.27;577.32;364.52;1.4271
01/01/90 14:00;861.1;22.19;936.91;66.012;82.111;3.1988;66.213;23.787;90;23.787;294;567.1;952.45;619.75;325.39;7.3148
01/01/90 15:00;741.4;22.32;920.45;52.875;90.723;0.4362;52.877;37.123;90;37.123;244.6;496.8;934.57;623.07;296.48;15.025
01/01/90 16:00;590.1;22.21;898.87;39.743;97.003;5.379;39.954;50.046;90;50.046;168.2;421.9;910.06;656.99;231.96;21.115
01/01/90 17:00;377.31;21.71;735.32;26.774;102.73;11.646;27.352;60;90;60;128.8;248.51;744.73;540.31;185.55;18.865
01/01/90 18:00;175.99;20.93;481.2;14.097;108.61;23.393;14.841;60;90;60;90.203;85.789;490.17;323.27;158.1;8.7996
01/01/90 19:00;8.305;19.98;0;4.0727;113.87;34.363;4.4521;60;90;60;8.0998;0.2052;4.7924;2.3854;1.9918;0.4153
01/01/90 20:00;0;18.75;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 21:00;0;17.53;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 22:00;0;16.3;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/01/90 23:00;0;15.08;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 00:00;0;14.14;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 01:00;0;13.14;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 02:00;0;12.6;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 03:00;0;12.06;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 04:00;0;11.67;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 05:00;0.1023;11.6;0;0.6072;-115.77;89.393;178.6;0;0;0;0.102;0.0003;0.1023;0.0003;0.102;0
01/02/90 06:00;83.801;12.1;409.88;7.2298;-112.02;30.751;7.7919;60;-90;-60;38.901;44.9;417.47;306.61;106.67;4.19
01/02/90 07:00;276.69;13.09;702.21;19.686;-105.83;17.655;20.399;60;-90;-60;84.797;191.9;710.89;542.83;154.22;13.835
01/02/90 08:00;504.1;14.33;906.05;32.516;-100.07;8.4816;32.92;57.08;-90;-57.08;117.6;386.5;915.06;711.18;180.87;23.014
01/02/90 09:00;710.99;15.61;996.27;45.577;-94.193;2.9334;45.653;44.347;-90;-44.347;157.6;553.39;1006.4;773.84;212.34;20.255
01/02/90 10:00;871.81;16.81;1024.1;58.737;-87.185;1.4604;58.767;31.233;-90;-31.233;219.3;652.51;1036.5;763.11;260.77;12.635
01/02/90 11:00;989.7;17.87;1038.9;71.762;-75.707;4.4314;72.29;17.71;-90;-17.71;251.5;738.2;1052;774.92;272.4;4.6902
01/02/90 12:00;1047.8;18.75;1040.1;83.038;-33.873;5.7758;86.107;3.8933;-90;-3.8933;264.2;783.6;1053;785.41;267.38;0.2418
01/02/90 13:00;1039.5;19.4;1051;78.656;61.451;5.394;80.006;9.9941;90;9.9941;241.4;798.1;1063.2;810.4;251.2;1.5774
01/02/90 14:00;963.3;19.81;1053.4;66.079;81.801;3.3149;66.296;23.704;90;23.704;199.9;763.4;1064.1;833.74;222.22;8.1269
01/02/90 15:00;832.81;19.96;1051.7;52.946;90.518;0.3118;52.947;37.053;90;37.053;144.8;688;1060.3;862.08;181.42;16.816
01/02/90 16:00;650.51;19.86;1005.5;39.811;96.84;5.2488;40.013;49.987;90;49.987;97.198;553.31;1011.7;860.57;127.96;23.226
01/02/90 17:00;428.4;19.36;913.29;26.836;102.59;11.505;27.401;60;90;60;69.601;358.8;919.78;778.82;119.54;21.42
01/02/90 18:00;202.8;18.56;562.93;14.151;108.47;23.262;14.886;60;90;60;97.903;104.9;572.69;394.19;168.36;10.14
01/02/90 19:00;13.302;17.55;11.518;3.9163;113.85;34.472;4.2805;60;90;60;12.902;0.3998;11.873;4.826;6.3817;0.6651
01/02/90 20:00;0;16.56;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 21:00;0;15.58;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 22:00;0;14.59;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/02/90 23:00;0;13.61;0;0;0;90;0;0;0;0;0;0;0;0;0;0
01/03/90 00:00;0;13.04;0;0;0;90;0;0;0;0;0;0;0;0;0;0
